"","V1"
"1",4.50746553156642
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",11.0539881758067
"17",12.8277162985114
"18",2.8304595489164
"19",1.99813371288349
"20",4.49052604940886
"21",3.15029271338892
"22",0
"23",0
"24",7.58878875212967
"25",17.077862840546
"26",10.2446429643656
"27",4.44762085230828
"28",4.6639617419599
"29",5.34093960253692
"30",8.1998210563184
"31",19.79779364459
"32",23.1722298020975
"33",8.94843511208421
"34",5.37010114114945
"35",5.5993778495004
"36",0
"37",0
"38",4.03346529007807
"39",2.85618690162565
"40",17.6045209527914
"41",4.28974476804978
"42",20.8176267720242
"43",20.609373969827
"44",1.92734053841696
"45",0
"46",2.86273771336001
"47",3.26082689146038
"48",1.65313820064332
"49",5.71067066881356
"50",4.42044337506427
"51",3.59656501425134
"52",5.68444048686882
"53",11.6135250167682
"54",7.71589447803616
"55",7.20659087928203
"56",8.92454967680159
"57",3.11639005687463
"58",6.13403302318918
"59",0
"60",5.60157882113412
"61",9.06461612420642
"62",1.62816202783834
"63",11.1459092673268
"64",5.1068486344053
"65",16.01634774757
"66",6.34545004477368
"67",13.4953162222534
"68",2.22797748397169
"69",2.32478912175005
"70",2.32054700917794
"71",0
"72",12.1964677342804
"73",13.2114511276201
"74",7.7247331307947
"75",6.63769032891128
"76",6.40603375181534
"77",6.34514653458689
"78",7.89579440291085
"79",6.10597818795834
"80",0
"81",0
"82",0
"83",0
"84",4.81065422097427
"85",15.1032889368269
"86",7.92275694369495
"87",1.75349659320306
"88",2.11832386969923
"89",7.06283065316113
"90",4.71546809302996
"91",7.75058331599648
"92",1.69644459506951
"93",0
"94",2.500222894243
"95",21.2294675306453
"96",9.91834505600883
"97",16.6333431383186
"98",3.05605134581828
"99",15.0448265812127
"100",5.75670560060036
"101",8.71083764286884
"102",0
"103",0
"104",0
"105",2.7914037006994
"106",7.64353041697425
"107",4.8317330785277
"108",1.75157428047071
"109",1.58891040994059
"110",0
"111",6.0021307443643
"112",14.2411959143547
"113",7.92747207135657
"114",24.0272700892525
"115",5.62717804103721
"116",10.6121697671974
"117",3.81965388107462
"118",6.61681928849388
"119",10.4319978073999
"120",10.4738429211397
"121",5.9722074618422
"122",4.20493046548611
"123",5.04010000225781
"124",0
"125",0
"126",0
"127",0
"128",0
"129",4.68313519994662
"130",14.9107255370345
"131",3.46481382925227
"132",2.9581640530251
"133",8.50684237405673
"134",3.03685580321716
"135",1.79509459461826
"136",1.82738730595903
"137",1.30561962217669
"138",1.47806358489606
"139",0
"140",0
"141",0
"142",5.15743263403796
"143",0
"144",0
"145",0
"146",0
"147",6.83980483489897
"148",6.1860845454246
"149",8.18247977172179
"150",6.87488035854702
"151",3.35070432187992
"152",7.51158690389962
"153",4.87931660026109
"154",1.91394473700779
"155",0
"156",1.00689784724386
"157",0
"158",1.54391021207601
"159",0
"160",1.43082205520587
"161",4.35352084579354
"162",6.29057849547941
"163",13.401141619726
"164",5.07043890449282
"165",9.48171180840605
"166",12.052363066215
"167",4.91174406508376
"168",6.84167723306308
"169",3.34717582635313
"170",5.67986051143769
"171",0
"172",0
"173",5.09755517094258
"174",2.80784539346089
"175",8.49690124248235
"176",1.28361979427881
"177",0
"178",2.09546510559564
"179",5.03404452729231
"180",0
"181",0
"182",2.73398488423134
"183",2.28554588922816
"184",0
"185",0
"186",0
"187",0
"188",0
"189",0
"190",2.83248223516077
"191",1.62229999123343
"192",0
"193",2.21062028359407
"194",3.14417680076839
"195",2.09966170041181
"196",0
"197",0
"198",1.13247763903227
"199",1.29626847474263
"200",0
"201",1.23832478869878
"202",4.35332087840004
"203",0
"204",0
"205",3.25166276391426
"206",6.266809455198
"207",4.46894849419092
"208",0
"209",1.41881894533833
"210",3.99795708053098
"211",0
"212",0
"213",2.86969332155549
"214",0
"215",0
"216",2.85759755219358
"217",2.65678296781152
"218",1.94056757474546
"219",2.18774536134015
"220",1.49813858936797
"221",0
"222",2.06768005943478
"223",5.32129106918583
"224",5.25718593470856
"225",3.32810059228806
"226",3.80576325821267
"227",2.97609060656067
"228",1.54170027986769
"229",2.67513598458473
"230",1.45549224638882
"231",1.23924580268672
"232",1.77000464414701
"233",1.74237247648634
"234",1.03642722107164
"235",0
"236",2.199504342509
"237",1.14350883167581
"238",5.21931164106994
"239",7.58676001018572
"240",4.42407605321569
"241",5.6632348908981
"242",4.04372527574011
"243",3.37812140614921
"244",1.17658115733046
"245",0
"246",1.02419372791113
"247",0
"248",0
"249",1.42536536727833
"250",1.22615118248633
"251",2.43939960557407
"252",3.55816627678002
"253",4.19022476012256
"254",0
"255",0
"256",0
"257",0
"258",0
"259",0
"260",0
"261",0
"262",0
"263",0
"264",0
"265",0
"266",0
"267",2.45561571024434
"268",3.30961969630315
"269",2.63573128094797
"270",3.14481231389634
"271",4.54561481130646
"272",3.03774535465663
"273",1.99501817377689
"274",10.1269820960273
"275",11.4548158358649
"276",5.02652204694418
"277",16.1887113163241
"278",2.96928758635854
"279",2.36869857373118
"280",0
"281",4.35826479954694
"282",3.45877859320827
"283",3.25363630890701
"284",7.3281773572769
"285",9.24888307613194
"286",15.836255081865
"287",14.4412130935933
"288",9.40568302232852
"289",19.8160819866581
"290",14.5999318022946
"291",5.51877660778524
"292",8.84327655562453
"293",7.74356831747104
"294",1.06560988666252
"295",0
"296",5.33952325046648
"297",6.63040131868497
"298",3.01934950532255
"299",10.234176120601
"300",15.9303465927053
"301",11.7724946735569
"302",0
"303",0
"304",1.66888043423196
"305",5.40331054207515
