time,Year,Month,pr
1985-01-31,1985,1,135.45902255344404
1985-02-28,1985,2,189.8637863919839
1985-03-31,1985,3,208.10616222182122
1985-04-30,1985,4,237.0021572367417
1985-05-31,1985,5,204.5763244236153
1985-06-30,1985,6,171.12522071520897
1985-07-31,1985,7,69.39060298171177
1985-08-31,1985,8,173.38659490952745
1985-09-30,1985,9,171.82862444504997
1985-10-31,1985,10,335.1320280076247
1985-11-30,1985,11,279.8015633315592
1985-12-31,1985,12,171.51213189891044
1986-01-31,1986,1,100.04206971569359
1986-02-28,1986,2,115.57835235262466
1986-03-31,1986,3,163.4193400360407
1986-04-30,1986,4,219.52747294617765
1986-05-31,1986,5,293.5286305218429
1986-06-30,1986,6,107.70053708706905
1986-07-31,1986,7,99.61437676258377
1986-08-31,1986,8,242.40430054150914
1986-09-30,1986,9,280.4612712831588
1986-10-31,1986,10,378.77616726976805
1986-11-30,1986,11,232.82683426030093
1986-12-31,1986,12,81.6238064134919
1987-01-31,1987,1,102.71669034730606
1987-02-28,1987,2,170.95877897547567
1987-03-31,1987,3,200.80330909443006
1987-04-30,1987,4,183.065338959438
1987-05-31,1987,5,246.25577494490838
1987-06-30,1987,6,111.92191340307546
1987-07-31,1987,7,126.62608296908546
1987-08-31,1987,8,235.75861365269094
1987-09-30,1987,9,335.8201897128546
1987-10-31,1987,10,289.9701529017192
1987-11-30,1987,11,295.37280087836825
1987-12-31,1987,12,126.44171663621377
1988-01-31,1988,1,115.1989057322454
1988-02-29,1988,2,161.17163145855704
1988-03-31,1988,3,205.9544883674621
1988-04-30,1988,4,349.4728781591701
1988-05-31,1988,5,267.2562636969056
1988-06-30,1988,6,131.6321294650687
1988-07-31,1988,7,69.69603001907505
1988-08-31,1988,8,313.48488795265376
1988-09-30,1988,9,358.33025335395143
1988-10-31,1988,10,358.07201956267824
1988-11-30,1988,11,219.368149899685
1988-12-31,1988,12,151.18143991954676
1989-01-31,1989,1,90.32595891948039
1989-02-28,1989,2,120.71816762631282
1989-03-31,1989,3,243.73046793884205
1989-04-30,1989,4,282.9189441824189
1989-05-31,1989,5,338.65863778976023
1989-06-30,1989,6,198.63431879634308
1989-07-31,1989,7,157.20698566747132
1989-08-31,1989,8,253.8128001333647
1989-09-30,1989,9,318.52919659252956
1989-10-31,1989,10,334.2751501271627
1989-11-30,1989,11,231.80378280240166
1989-12-31,1989,12,160.71205466792398
1990-01-31,1990,1,119.99917086673813
1990-02-28,1990,2,101.75614915034444
1990-03-31,1990,3,137.81298140602556
1990-04-30,1990,4,275.9224852563428
1990-05-31,1990,5,339.7482041084033
1990-06-30,1990,6,208.8755226654444
1990-07-31,1990,7,120.19878432814517
1990-08-31,1990,8,248.6569659642098
1990-09-30,1990,9,394.6198508780694
1990-10-31,1990,10,300.74462473861627
1990-11-30,1990,11,206.86488387900542
1990-12-31,1990,12,166.65934342928654
1991-01-31,1991,1,90.01621527596852
1991-02-28,1991,2,136.5286007513554
1991-03-31,1991,3,210.24532546800262
1991-04-30,1991,4,275.93899671079737
1991-05-31,1991,5,192.8743257328882
1991-06-30,1991,6,84.80065654618805
1991-07-31,1991,7,67.87110244860418
1991-08-31,1991,8,203.6713952350915
1991-09-30,1991,9,305.737382168023
1991-10-31,1991,10,291.49469214902285
1991-11-30,1991,11,237.07146264308741
1991-12-31,1991,12,144.44933695583643
1992-01-31,1992,1,99.19967401647118
1992-02-29,1992,2,93.35385851507593
1992-03-31,1992,3,217.37915146145127
1992-04-30,1992,4,238.64206136367883
1992-05-31,1992,5,224.36510938252363
1992-06-30,1992,6,115.59841153993989
1992-07-31,1992,7,90.86775047226452
1992-08-31,1992,8,198.37288409328661
1992-09-30,1992,9,292.6762069531843
1992-10-31,1992,10,390.5181335472321
1992-11-30,1992,11,198.57894510752422
1992-12-31,1992,12,98.84082535532616
1993-01-31,1993,1,110.47444607443045
1993-02-28,1993,2,123.7954096075396
1993-03-31,1993,3,240.5748231756264
1993-04-30,1993,4,172.5707076746997
1993-05-31,1993,5,218.1101848718296
1993-06-30,1993,6,96.99011327765463
1993-07-31,1993,7,94.55189028338921
1993-08-31,1993,8,153.5167432850096
1993-09-30,1993,9,178.44082319023522
1993-10-31,1993,10,391.0328695078543
1993-11-30,1993,11,228.14640167869115
1993-12-31,1993,12,131.12560353192424
1994-01-31,1994,1,171.62330271711892
1994-02-28,1994,2,118.72379145424983
1994-03-31,1994,3,242.81515823439813
1994-04-30,1994,4,145.23928686218073
