time,Year,Month,Day,tas
1985-01-01 12:00:00,1985,1,1,18.86848731706823
1985-01-02 12:00:00,1985,1,2,18.97144097370949
1985-01-03 12:00:00,1985,1,3,18.81723879199467
1985-01-04 12:00:00,1985,1,4,18.979906976131417
1985-01-05 12:00:00,1985,1,5,18.435904369327886
1985-01-06 12:00:00,1985,1,6,18.362220583445378
1985-01-07 12:00:00,1985,1,7,18.32232650131391
1985-01-08 12:00:00,1985,1,8,18.54552530244274
1985-01-09 12:00:00,1985,1,9,18.885963247204074
1985-01-10 12:00:00,1985,1,10,18.644174263965397
1985-01-11 12:00:00,1985,1,11,18.383342457102003
1985-01-12 12:00:00,1985,1,12,18.536027072475576
1985-01-13 12:00:00,1985,1,13,18.31923962648665
1985-01-14 12:00:00,1985,1,14,17.594757038636658
1985-01-15 12:00:00,1985,1,15,17.915625121080154
1985-01-16 12:00:00,1985,1,16,17.58471430903279
1985-01-17 12:00:00,1985,1,17,17.322004954295437
1985-01-18 12:00:00,1985,1,18,17.002510292290992
1985-01-19 12:00:00,1985,1,19,17.349039753361012
1985-01-20 12:00:00,1985,1,20,17.76598294292836
1985-01-21 12:00:00,1985,1,21,17.51092813252137
1985-01-22 12:00:00,1985,1,22,18.130761606795488
1985-01-23 12:00:00,1985,1,23,18.43585518779787
1985-01-24 12:00:00,1985,1,24,17.93511148614897
1985-01-25 12:00:00,1985,1,25,17.911196137546654
1985-01-26 12:00:00,1985,1,26,17.815438646270024
1985-01-27 12:00:00,1985,1,27,17.439982190984836
1985-01-28 12:00:00,1985,1,28,17.38949569012965
1985-01-29 12:00:00,1985,1,29,17.93168370188465
1985-01-30 12:00:00,1985,1,30,18.16737328193483
1985-01-31 12:00:00,1985,1,31,17.42663405635085
1985-02-01 12:00:00,1985,2,1,17.605334361903942
1985-02-02 12:00:00,1985,2,2,18.606795571381895
1985-02-03 12:00:00,1985,2,3,18.215458353677946
1985-02-04 12:00:00,1985,2,4,18.14222576973316
1985-02-05 12:00:00,1985,2,5,18.265003543917658
1985-02-06 12:00:00,1985,2,6,18.613424131434044
1985-02-07 12:00:00,1985,2,7,18.637803945686073
1985-02-08 12:00:00,1985,2,8,18.69437675172628
1985-02-09 12:00:00,1985,2,9,17.657594700797176
1985-02-10 12:00:00,1985,2,10,17.987847998555594
1985-02-11 12:00:00,1985,2,11,18.399808848099212
1985-02-12 12:00:00,1985,2,12,18.16571973494422
1985-02-13 12:00:00,1985,2,13,17.855385971800956
1985-02-14 12:00:00,1985,2,14,18.30592372419403
1985-02-15 12:00:00,1985,2,15,18.310517500245055
1985-02-16 12:00:00,1985,2,16,18.061177050241554
1985-02-17 12:00:00,1985,2,17,18.302771375456018
1985-02-18 12:00:00,1985,2,18,18.398110192195702
1985-02-19 12:00:00,1985,2,19,17.86337156910497
1985-02-20 12:00:00,1985,2,20,17.531337075507736
1985-02-21 12:00:00,1985,2,21,18.40219711335874
1985-02-22 12:00:00,1985,2,22,18.48789553222855
1985-02-23 12:00:00,1985,2,23,18.42144896172357
1985-02-24 12:00:00,1985,2,24,18.554016970735404
1985-02-25 12:00:00,1985,2,25,18.277618141505343
1985-02-26 12:00:00,1985,2,26,18.782648518613826
1985-02-27 12:00:00,1985,2,27,18.62587131916615
1985-02-28 12:00:00,1985,2,28,18.01217111110003
1985-03-01 12:00:00,1985,3,1,18.384647815291146
1985-03-02 12:00:00,1985,3,2,18.68490311644956
1985-03-03 12:00:00,1985,3,3,18.659572810670113
1985-03-04 12:00:00,1985,3,4,18.67842290843936
1985-03-05 12:00:00,1985,3,5,18.321241177899026
1985-03-06 12:00:00,1985,3,6,17.58049883651904
1985-03-07 12:00:00,1985,3,7,18.08766809269298
1985-03-08 12:00:00,1985,3,8,18.0988377315972
1985-03-09 12:00:00,1985,3,9,18.793657246169516
1985-03-10 12:00:00,1985,3,10,19.21492296811931
1985-03-11 12:00:00,1985,3,11,18.706484492658888
1985-03-12 12:00:00,1985,3,12,18.216613662458258
1985-03-13 12:00:00,1985,3,13,17.87163657582255
1985-03-14 12:00:00,1985,3,14,17.858933013274736
1985-03-15 12:00:00,1985,3,15,18.198757250429367
1985-03-16 12:00:00,1985,3,16,18.36996480626709
1985-03-17 12:00:00,1985,3,17,17.978385932173524
1985-03-18 12:00:00,1985,3,18,17.978765000301337
1985-03-19 12:00:00,1985,3,19,18.121422686005417
1985-03-20 12:00:00,1985,3,20,18.636439654389562
1985-03-21 12:00:00,1985,3,21,19.01117122672099
1985-03-22 12:00:00,1985,3,22,18.719104668145064
1985-03-23 12:00:00,1985,3,23,18.816562310278414
1985-03-24 12:00:00,1985,3,24,18.70284340989872
1985-03-25 12:00:00,1985,3,25,18.36769977274173
1985-03-26 12:00:00,1985,3,26,18.321677450161417
1985-03-27 12:00:00,1985,3,27,18.413782003849292
1985-03-28 12:00:00,1985,3,28,18.56651516141403
1985-03-29 12:00:00,1985,3,29,18.95121162229009
1985-03-30 12:00:00,1985,3,30,18.74584094764907
1985-03-31 12:00:00,1985,3,31,19.047384671670216
1985-04-01 12:00:00,1985,4,1,18.796046180969313
1985-04-02 12:00:00,1985,4,2,18.64759476631582
1985-04-03 12:00:00,1985,4,3,18.778245130437938
1985-04-04 12:00:00,1985,4,4,18.599749681884532
1985-04-05 12:00:00,1985,4,5,18.132395923832803
1985-04-06 12:00:00,1985,4,6,17.7160151313513
1985-04-07 12:00:00,1985,4,7,17.73588988825304
1985-04-08 12:00:00,1985,4,8,18.11094003013858
1985-04-09 12:00:00,1985,4,9,17.84854153983315
1985-04-10 12:00:00,1985,4,10,17.800868517665776
1985-04-11 12:00:00,1985,4,11,17.870324375339294
1985-04-12 12:00:00,1985,4,12,18.40305287715546
1985-04-13 12:00:00,1985,4,13,18.589172407909643
1985-04-14 12:00:00,1985,4,14,18.991102508494578
1985-04-15 12:00:00,1985,4,15,18.917572346107818
1985-04-16 12:00:00,1985,4,16,19.02077142523865
1985-04-17 12:00:00,1985,4,17,18.8439464505866
1985-04-18 12:00:00,1985,4,18,18.762750044986547
1985-04-19 12:00:00,1985,4,19,19.01724459627917
1985-04-20 12:00:00,1985,4,20,19.123555263603407
1985-04-21 12:00:00,1985,4,21,18.795545053914054
1985-04-22 12:00:00,1985,4,22,18.389285095679043
1985-04-23 12:00:00,1985,4,23,17.940397469093227
1985-04-24 12:00:00,1985,4,24,17.547843689482306
1985-04-25 12:00:00,1985,4,25,17.88459023130207
1985-04-26 12:00:00,1985,4,26,17.73324686668832
1985-04-27 12:00:00,1985,4,27,17.862915425710753
1985-04-28 12:00:00,1985,4,28,17.356055346929793
1985-04-29 12:00:00,1985,4,29,18.203725673467602
1985-04-30 12:00:00,1985,4,30,18.334868690615565
1985-05-01 12:00:00,1985,5,1,18.46850488410007
1985-05-02 12:00:00,1985,5,2,18.579050192358977
1985-05-03 12:00:00,1985,5,3,18.639462039851537
1985-05-04 12:00:00,1985,5,4,18.64838651643464
1985-05-05 12:00:00,1985,5,5,18.790273325730936
1985-05-06 12:00:00,1985,5,6,18.62099357521413
1985-05-07 12:00:00,1985,5,7,18.785080003898656
1985-05-08 12:00:00,1985,5,8,18.729421399491684
1985-05-09 12:00:00,1985,5,9,18.804409980038884
1985-05-10 12:00:00,1985,5,10,18.477470333751796
1985-05-11 12:00:00,1985,5,11,18.56386445948209
1985-05-12 12:00:00,1985,5,12,18.56535461859471
1985-05-13 12:00:00,1985,5,13,18.190217678792067
1985-05-14 12:00:00,1985,5,14,18.271494485646258
1985-05-15 12:00:00,1985,5,15,18.117702620145224
1985-05-16 12:00:00,1985,5,16,17.928165734240167
1985-05-17 12:00:00,1985,5,17,18.174695042334008
1985-05-18 12:00:00,1985,5,18,18.14709540225897
1985-05-19 12:00:00,1985,5,19,18.277329860811335
1985-05-20 12:00:00,1985,5,20,18.673071293379166
1985-05-21 12:00:00,1985,5,21,18.27262655925483
1985-05-22 12:00:00,1985,5,22,18.400380820523537
1985-05-23 12:00:00,1985,5,23,18.382106474503473
1985-05-24 12:00:00,1985,5,24,18.518907661957428
1985-05-25 12:00:00,1985,5,25,19.39106650100001
1985-05-26 12:00:00,1985,5,26,19.279731932304117
1985-05-27 12:00:00,1985,5,27,19.048900934998642
1985-05-28 12:00:00,1985,5,28,18.533655333196407
1985-05-29 12:00:00,1985,5,29,18.104152330079728
1985-05-30 12:00:00,1985,5,30,17.889443790054713
1985-05-31 12:00:00,1985,5,31,18.52413501080804
1985-06-01 12:00:00,1985,6,1,18.85671880631196
1985-06-02 12:00:00,1985,6,2,18.63702776430648
1985-06-03 12:00:00,1985,6,3,18.515823943310295
1985-06-04 12:00:00,1985,6,4,18.328837609233744
1985-06-05 12:00:00,1985,6,5,18.556331719968682
1985-06-06 12:00:00,1985,6,6,18.829232510321674
1985-06-07 12:00:00,1985,6,7,19.248435255375398
1985-06-08 12:00:00,1985,6,8,19.361250133514147
1985-06-09 12:00:00,1985,6,9,19.39483767702461
1985-06-10 12:00:00,1985,6,10,19.24247190455162
1985-06-11 12:00:00,1985,6,11,18.848283270263664
1985-06-12 12:00:00,1985,6,12,18.3958352769597
1985-06-13 12:00:00,1985,6,13,18.61738412392856
1985-06-14 12:00:00,1985,6,14,19.01398641472565
1985-06-15 12:00:00,1985,6,15,19.09364039931745
1985-06-16 12:00:00,1985,6,16,18.648699325057805
1985-06-17 12:00:00,1985,6,17,18.14142182651767
1985-06-18 12:00:00,1985,6,18,17.89824896190305
1985-06-19 12:00:00,1985,6,19,17.898155229610722
1985-06-20 12:00:00,1985,6,20,18.048815587624063
1985-06-21 12:00:00,1985,6,21,18.283866686863746
1985-06-22 12:00:00,1985,6,22,18.69023290968306
1985-06-23 12:00:00,1985,6,23,17.823591465095717
1985-06-24 12:00:00,1985,6,24,17.610103631237507
1985-06-25 12:00:00,1985,6,25,16.762733041696492
1985-06-26 12:00:00,1985,6,26,17.140803219041004
1985-06-27 12:00:00,1985,6,27,17.370257440355658
1985-06-28 12:00:00,1985,6,28,17.150320389913304
1985-06-29 12:00:00,1985,6,29,17.032929298511363
1985-06-30 12:00:00,1985,6,30,17.47501215363974
1985-07-01 12:00:00,1985,7,1,17.646028499723343
1985-07-02 12:00:00,1985,7,2,17.980035979269417
1985-07-03 12:00:00,1985,7,3,18.09533743692782
1985-07-04 12:00:00,1985,7,4,17.976215506008486
1985-07-05 12:00:00,1985,7,5,18.200422678133236
1985-07-06 12:00:00,1985,7,6,18.249336396274884
1985-07-07 12:00:00,1985,7,7,18.401775633714806
1985-07-08 12:00:00,1985,7,8,18.410131208766188
1985-07-09 12:00:00,1985,7,9,18.06891112776907
1985-07-10 12:00:00,1985,7,10,17.793999085978214
1985-07-11 12:00:00,1985,7,11,17.73249919610589
1985-07-12 12:00:00,1985,7,12,17.81665150473907
1985-07-13 12:00:00,1985,7,13,17.93916036057567
1985-07-14 12:00:00,1985,7,14,17.623998859786127
1985-07-15 12:00:00,1985,7,15,17.768626617839118
1985-07-16 12:00:00,1985,7,16,18.372306422322197
1985-07-17 12:00:00,1985,7,17,18.788056603129235
1985-07-18 12:00:00,1985,7,18,18.687740741792197
1985-07-19 12:00:00,1985,7,19,18.75324377212155
1985-07-20 12:00:00,1985,7,20,18.697782352125557
1985-07-21 12:00:00,1985,7,21,18.616083519426866
1985-07-22 12:00:00,1985,7,22,18.619857297087947
1985-07-23 12:00:00,1985,7,23,18.97103119824982
1985-07-24 12:00:00,1985,7,24,18.074657654100122
1985-07-25 12:00:00,1985,7,25,17.448660995776947
1985-07-26 12:00:00,1985,7,26,18.09892415927777
1985-07-27 12:00:00,1985,7,27,17.859212262571134
1985-07-28 12:00:00,1985,7,28,17.929966493491463
1985-07-29 12:00:00,1985,7,29,17.83728530238352
1985-07-30 12:00:00,1985,7,30,18.010876967125796
1985-07-31 12:00:00,1985,7,31,18.34537300543991
1985-08-01 12:00:00,1985,8,1,18.613607115330183
1985-08-02 12:00:00,1985,8,2,19.029709354012653
1985-08-03 12:00:00,1985,8,3,18.578728957231533
1985-08-04 12:00:00,1985,8,4,18.29874911962213
1985-08-05 12:00:00,1985,8,5,18.42742867070467
1985-08-06 12:00:00,1985,8,6,18.183209071440388
1985-08-07 12:00:00,1985,8,7,18.34240274092008
1985-08-08 12:00:00,1985,8,8,18.39052674288331
1985-08-09 12:00:00,1985,8,9,18.65315756057163
1985-08-10 12:00:00,1985,8,10,18.899681721188813
1985-08-11 12:00:00,1985,8,11,18.57221460168779
1985-08-12 12:00:00,1985,8,12,17.98095216278358
1985-08-13 12:00:00,1985,8,13,18.26108828345076
1985-08-14 12:00:00,1985,8,14,18.518912257149964
1985-08-15 12:00:00,1985,8,15,18.270829767807186
1985-08-16 12:00:00,1985,8,16,18.79164873371485
1985-08-17 12:00:00,1985,8,17,18.806716551287025
1985-08-18 12:00:00,1985,8,18,19.14592073091501
1985-08-19 12:00:00,1985,8,19,18.72916588453461
1985-08-20 12:00:00,1985,8,20,18.33498217727606
1985-08-21 12:00:00,1985,8,21,18.77627117804974
1985-08-22 12:00:00,1985,8,22,18.751297290044022
1985-08-23 12:00:00,1985,8,23,18.269507675357886
1985-08-24 12:00:00,1985,8,24,18.647183453751495
1985-08-25 12:00:00,1985,8,25,18.776572739432368
1985-08-26 12:00:00,1985,8,26,18.713032900758208
1985-08-27 12:00:00,1985,8,27,18.234586438042584
1985-08-28 12:00:00,1985,8,28,18.49896724394074
1985-08-29 12:00:00,1985,8,29,18.360319595799126
1985-08-30 12:00:00,1985,8,30,17.522044260835912
1985-08-31 12:00:00,1985,8,31,17.348462498242725
1985-09-01 12:00:00,1985,9,1,17.787670444608125
1985-09-02 12:00:00,1985,9,2,18.583294662887454
1985-09-03 12:00:00,1985,9,3,18.792788526235256
1985-09-04 12:00:00,1985,9,4,19.29230331340085
1985-09-05 12:00:00,1985,9,5,19.57980780024559
1985-09-06 12:00:00,1985,9,6,18.9873224388391
1985-09-07 12:00:00,1985,9,7,18.672721435427547
1985-09-08 12:00:00,1985,9,8,18.923453532186727
1985-09-09 12:00:00,1985,9,9,18.52088992627324
1985-09-10 12:00:00,1985,9,10,18.402903970642228
1985-09-11 12:00:00,1985,9,11,18.624760386111575
1985-09-12 12:00:00,1985,9,12,18.66336199454878
1985-09-13 12:00:00,1985,9,13,19.49816958783822
1985-09-14 12:00:00,1985,9,14,19.174682717684448
1985-09-15 12:00:00,1985,9,15,18.59918155569136
1985-09-16 12:00:00,1985,9,16,18.498432688039543
1985-09-17 12:00:00,1985,9,17,18.621660001240286
1985-09-18 12:00:00,1985,9,18,19.095280193683777
1985-09-19 12:00:00,1985,9,19,19.868463328125983
1985-09-20 12:00:00,1985,9,20,19.937110681619515
1985-09-21 12:00:00,1985,9,21,19.58185634401201
1985-09-22 12:00:00,1985,9,22,19.308994573483233
1985-09-23 12:00:00,1985,9,23,19.698838829227043
1985-09-24 12:00:00,1985,9,24,19.53900286891826
1985-09-25 12:00:00,1985,9,25,18.821393615855413
1985-09-26 12:00:00,1985,9,26,18.863796167094335
1985-09-27 12:00:00,1985,9,27,18.78107957484542
1985-09-28 12:00:00,1985,9,28,18.855691826740383
1985-09-29 12:00:00,1985,9,29,18.082093838672677
1985-09-30 12:00:00,1985,9,30,17.853440086491048
1985-10-01 12:00:00,1985,10,1,17.670102557693212
1985-10-02 12:00:00,1985,10,2,17.85952984156836
1985-10-03 12:00:00,1985,10,3,18.312205259908353
1985-10-04 12:00:00,1985,10,4,18.49911633957015
1985-10-05 12:00:00,1985,10,5,18.348094188298262
1985-10-06 12:00:00,1985,10,6,18.46116141842026
1985-10-07 12:00:00,1985,10,7,18.485133443627774
1985-10-08 12:00:00,1985,10,8,18.49467354619651
1985-10-09 12:00:00,1985,10,9,18.754725614352537
1985-10-10 12:00:00,1985,10,10,18.742606252828296
1985-10-11 12:00:00,1985,10,11,18.11003164841918
1985-10-12 12:00:00,1985,10,12,17.790641432624625
1985-10-13 12:00:00,1985,10,13,17.47507669165998
1985-10-14 12:00:00,1985,10,14,17.7343290547812
1985-10-15 12:00:00,1985,10,15,17.459767264586276
1985-10-16 12:00:00,1985,10,16,17.56163610242669
1985-10-17 12:00:00,1985,10,17,17.03852713919639
1985-10-18 12:00:00,1985,10,18,17.418485230156193
1985-10-19 12:00:00,1985,10,19,17.51716331480054
1985-10-20 12:00:00,1985,10,20,17.82655398573138
1985-10-21 12:00:00,1985,10,21,18.358963893311
1985-10-22 12:00:00,1985,10,22,18.646472057216556
1985-10-23 12:00:00,1985,10,23,18.47384916618688
1985-10-24 12:00:00,1985,10,24,18.294944333486114
1985-10-25 12:00:00,1985,10,25,18.236542733722217
1985-10-26 12:00:00,1985,10,26,17.903562792535638
1985-10-27 12:00:00,1985,10,27,17.960724638646923
1985-10-28 12:00:00,1985,10,28,17.672665057561062
1985-10-29 12:00:00,1985,10,29,18.192375465664384
1985-10-30 12:00:00,1985,10,30,18.390558148609216
