time,Year,Month,tas
1985-01-31,1985,1,18.08712554879542
1985-02-28,1985,2,18.25656627996553
1985-03-31,1985,3,18.45501835556281
1985-04-30,1985,4,18.32514175430887
1985-05-31,1985,5,18.509585509523752
1985-06-30,1985,6,18.29717626586215
1985-07-31,1985,7,18.15529641413011
1985-08-31,1985,8,18.475092821895707
1985-09-30,1985,9,18.91701489702232
1985-10-31,1985,10,18.07541799160186
1985-11-30,1985,11,18.114295116320168
1985-12-31,1985,12,18.141594529470776
1986-01-31,1986,1,18.759270241822666
1986-02-28,1986,2,19.13983253847897
1986-03-31,1986,3,19.4179911257156
1986-04-30,1986,4,18.92511802513631
1986-05-31,1986,5,19.167566453880227
1986-06-30,1986,6,18.60586070099765
1986-07-31,1986,7,18.602422461550407
1986-08-31,1986,8,18.884958817035766
1986-09-30,1986,9,18.653549315739653
1986-10-31,1986,10,18.40719466531817
1986-11-30,1986,11,18.092919660913303
1986-12-31,1986,12,18.559783702643138
1987-01-31,1987,1,19.224903401332224
1987-02-28,1987,2,18.51902616507935
1987-03-31,1987,3,19.006483601866357
1987-04-30,1987,4,19.55246694533411
1987-05-31,1987,5,18.660716498953853
1987-06-30,1987,6,18.58315332717585
1987-07-31,1987,7,18.439749141204498
1987-08-31,1987,8,18.92977918076742
1987-09-30,1987,9,18.114606742306837
1987-10-31,1987,10,18.27386719871185
1987-11-30,1987,11,18.187927954403587
1987-12-31,1987,12,18.052751748242695
1988-01-31,1988,1,18.41578291831759
1988-02-29,1988,2,18.854222990197457
1988-03-31,1988,3,18.827597083214236
1988-04-30,1988,4,18.454910501335355
1988-05-31,1988,5,18.79765657958856
1988-06-30,1988,6,17.248295404673474
1988-07-31,1988,7,17.06677938288715
1988-08-31,1988,8,17.78260533506258
1988-09-30,1988,9,18.06738418569213
1988-10-31,1988,10,17.746054992888343
1988-11-30,1988,11,17.566357828300998
1988-12-31,1988,12,17.72831814991852
1989-01-31,1989,1,18.337268748181693
1989-02-28,1989,2,18.31951848222139
1989-03-31,1989,3,18.263859031838862
1989-04-30,1989,4,18.435275773103072
1989-05-31,1989,5,18.45781742673702
1989-06-30,1989,6,18.441724507421313
1989-07-31,1989,7,17.734747822689403
1989-08-31,1989,8,17.845222644547043
1989-09-30,1989,9,18.15272444741976
1989-10-31,1989,10,17.783259978078338
1989-11-30,1989,11,17.59797462350983
1989-12-31,1989,12,17.73387900687469
1990-01-31,1990,1,17.56056230467198
1990-02-28,1990,2,18.515123447978205
1990-03-31,1990,3,19.298085827447224
1990-04-30,1990,4,18.50463970815665
1990-05-31,1990,5,18.270228305405233
1990-06-30,1990,6,18.171812803876904
1990-07-31,1990,7,17.442328558085176
1990-08-31,1990,8,18.125619234250298
1990-09-30,1990,9,18.009775987559678
1990-10-31,1990,10,17.566267622714935
1990-11-30,1990,11,18.03219628234704
1990-12-31,1990,12,17.87907420927682
1991-01-31,1991,1,18.348788932429112
1991-02-28,1991,2,18.352784216624034
1991-03-31,1991,3,18.48302325521972
1991-04-30,1991,4,17.86563931096076
