time,Year,Month,Day,pr
1985-01-01,1985,1,1,9.466126
1985-01-02,1985,1,2,2.2854805
1985-01-03,1985,1,3,6.440416
1985-01-04,1985,1,4,33.342136
1985-01-05,1985,1,5,9.47152
1985-01-06,1985,1,6,13.621062
1985-01-07,1985,1,7,14.923185
1985-01-08,1985,1,8,28.895437
1985-01-09,1985,1,9,8.326083
1985-01-10,1985,1,10,4.111707
1985-01-11,1985,1,11,11.713788
1985-01-12,1985,1,12,42.905525
1985-01-13,1985,1,13,41.235985
1985-01-14,1985,1,14,25.51855
1985-01-15,1985,1,15,24.702682
1985-01-16,1985,1,16,27.188078
1985-01-17,1985,1,17,3.8091393
1985-01-18,1985,1,18,18.083975
1985-01-19,1985,1,19,28.284908
1985-01-20,1985,1,20,22.211895
1985-01-21,1985,1,21,25.264606
1985-01-22,1985,1,22,35.027893
1985-01-23,1985,1,23,29.532999
1985-01-24,1985,1,24,21.644562
1985-01-25,1985,1,25,33.16924
1985-01-26,1985,1,26,42.48409
1985-01-27,1985,1,27,24.853975
1985-01-28,1985,1,28,22.676542
1985-01-29,1985,1,29,27.868866
1985-01-30,1985,1,30,27.317762
1985-01-31,1985,1,31,35.459286
1985-02-01,1985,2,1,19.962944
1985-02-02,1985,2,2,36.410473
1985-02-03,1985,2,3,37.821396
1985-02-04,1985,2,4,11.640094
1985-02-05,1985,2,5,2.1916776
1985-02-06,1985,2,6,2.572149
1985-02-07,1985,2,7,7.169537
1985-02-08,1985,2,8,20.220556
1985-02-09,1985,2,9,25.563032
1985-02-10,1985,2,10,25.646254
1985-02-11,1985,2,11,10.149911
1985-02-12,1985,2,12,17.164879
1985-02-13,1985,2,13,12.512013
1985-02-14,1985,2,14,7.7243967
1985-02-15,1985,2,15,16.320705
1985-02-16,1985,2,16,12.095869
1985-02-17,1985,2,17,3.1190813
1985-02-18,1985,2,18,3.4044385
1985-02-19,1985,2,19,6.1153097
1985-02-20,1985,2,20,8.925259
