time,Year,Month,pr
1985-01-31,1985,1,701.83746
1985-02-28,1985,2,370.71854
1985-03-31,1985,3,393.7485
1985-04-30,1985,4,396.453
1985-05-31,1985,5,590.54626
1985-06-30,1985,6,302.4825
1985-07-31,1985,7,372.07785
1985-08-31,1985,8,387.96933
1985-09-30,1985,9,530.93506
1985-10-31,1985,10,477.99753
1985-11-30,1985,11,326.6959
1985-12-31,1985,12,697.4228
1986-01-31,1986,1,529.62616
1986-02-28,1986,2,427.99866
1986-03-31,1986,3,690.00116
1986-04-30,1986,4,738.918
1986-05-31,1986,5,483.91187
1986-06-30,1986,6,407.21423
1986-07-31,1986,7,221.83376
1986-08-31,1986,8,350.20206
1986-09-30,1986,9,331.85126
1986-10-31,1986,10,571.5968
1986-11-30,1986,11,422.71307
1986-12-31,1986,12,320.80917
1987-01-31,1987,1,415.6044
1987-02-28,1987,2,346.18042
1987-03-31,1987,3,620.5012
1987-04-30,1987,4,710.5786
1987-05-31,1987,5,487.3803
1987-06-30,1987,6,252.58109
1987-07-31,1987,7,396.0817
1987-08-31,1987,8,363.17892
1987-09-30,1987,9,585.257
1987-10-31,1987,10,708.4339
1987-11-30,1987,11,436.39056
1987-12-31,1987,12,395.26224
1988-01-31,1988,1,567.8089
1988-02-29,1988,2,472.91916
1988-03-31,1988,3,515.7937
1988-04-30,1988,4,936.62164
1988-05-31,1988,5,651.71014
1988-06-30,1988,6,509.7854
1988-07-31,1988,7,525.0809
1988-08-31,1988,8,479.39453
1988-09-30,1988,9,571.37585
1988-10-31,1988,10,531.9866
1988-11-30,1988,11,617.0392
1988-12-31,1988,12,630.123
1989-01-31,1989,1,577.99
1989-02-28,1989,2,530.2883
1989-03-31,1989,3,479.24118
1989-04-30,1989,4,566.3709
1989-05-31,1989,5,567.42786
1989-06-30,1989,6,446.06424
1989-07-31,1989,7,345.8294
1989-08-31,1989,8,345.99503
1989-09-30,1989,9,582.43225
1989-10-31,1989,10,719.5705
1989-11-30,1989,11,517.9385
1989-12-31,1989,12,402.24878
1990-01-31,1990,1,362.3787
1990-02-28,1990,2,261.43637
1990-03-31,1990,3,447.35712
1990-04-30,1990,4,713.85675
1990-05-31,1990,5,459.81253
1990-06-30,1990,6,308.50497
1990-07-31,1990,7,262.85413
1990-08-31,1990,8,271.9454
1990-09-30,1990,9,432.46527
1990-10-31,1990,10,642.079
1990-11-30,1990,11,465.41727
1990-12-31,1990,12,416.15878
1991-01-31,1991,1,404.98895
1991-02-28,1991,2,456.26843
1991-03-31,1991,3,544.8653
1991-04-30,1991,4,625.5014
1991-05-31,1991,5,599.08044
1991-06-30,1991,6,463.43536
1991-07-31,1991,7,367.51486
1991-08-31,1991,8,261.75003
1991-09-30,1991,9,518.7438
1991-10-31,1991,10,408.28177
1991-11-30,1991,11,650.74133
1991-12-31,1991,12,307.42133
1992-01-31,1992,1,303.29987
1992-02-29,1992,2,401.9679
1992-03-31,1992,3,539.1317
1992-04-30,1992,4,674.6794
1992-05-31,1992,5,596.03406
1992-06-30,1992,6,284.81207
1992-07-31,1992,7,314.99527
1992-08-31,1992,8,308.83862
1992-09-30,1992,9,475.15555
1992-10-31,1992,10,427.21777
1992-11-30,1992,11,465.65604
1992-12-31,1992,12,397.23474
1993-01-31,1993,1,391.57117
1993-02-28,1993,2,474.27835
1993-03-31,1993,3,758.4684
1993-04-30,1993,4,672.6288
1993-05-31,1993,5,591.5511
1993-06-30,1993,6,300.9577
1993-07-31,1993,7,343.95886
1993-08-31,1993,8,261.2638
1993-09-30,1993,9,469.5852
1993-10-31,1993,10,517.56195
1993-11-30,1993,11,591.6453
1993-12-31,1993,12,629.76886
1994-01-31,1994,1,515.5514
1994-02-28,1994,2,511.50955
1994-03-31,1994,3,770.7168
1994-04-30,1994,4,762.8268
1994-05-31,1994,5,623.3993
1994-06-30,1994,6,401.05566
1994-07-31,1994,7,329.8372
1994-08-31,1994,8,303.32382
1994-09-30,1994,9,340.708
1994-10-31,1994,10,452.464
1994-11-30,1994,11,679.7048
1994-12-31,1994,12,411.92764
1995-01-31,1995,1,254.5128
1995-02-28,1995,2,269.17282
1995-03-31,1995,3,554.847
1995-04-30,1995,4,735.9109
1995-05-31,1995,5,555.2237
1995-06-30,1995,6,452.07193
1995-07-31,1995,7,518.35333
1995-08-31,1995,8,554.9411
1995-09-30,1995,9,453.92615
1995-10-31,1995,10,617.1908
1995-11-30,1995,11,666.2333
1995-12-31,1995,12,600.86884
1996-01-31,1996,1,510.8161
1996-02-29,1996,2,526.365
1996-03-31,1996,3,768.8672
1996-04-30,1996,4,673.7091
1996-05-31,1996,5,687.5626
1996-06-30,1996,6,490.35522
1996-07-31,1996,7,422.4456
1996-08-31,1996,8,397.92566
1996-09-30,1996,9,393.2576
1996-10-31,1996,10,741.3612
1996-11-30,1996,11,460.60263
1996-12-31,1996,12,357.8791
1997-01-31,1997,1,546.46387
1997-02-28,1997,2,454.595
1997-03-31,1997,3,311.27826
1997-04-30,1997,4,750.7359
1997-05-31,1997,5,521.6673
1997-06-30,1997,6,490.85367
1997-07-31,1997,7,115.50299
1997-08-31,1997,8,158.01999
1997-09-30,1997,9,481.72586
1997-10-31,1997,10,498.43488
1997-11-30,1997,11,636.6813
1997-12-31,1997,12,279.13617
1998-01-31,1998,1,234.21127
1998-02-28,1998,2,599.9211
1998-03-31,1998,3,654.494
1998-04-30,1998,4,818.49805
1998-05-31,1998,5,640.7799
1998-06-30,1998,6,349.06146
1998-07-31,1998,7,315.04935
1998-08-31,1998,8,471.1109
1998-09-30,1998,9,507.77353
1998-10-31,1998,10,639.09186
1998-11-30,1998,11,718.6539
1998-12-31,1998,12,504.94467
1999-01-31,1999,1,561.2836
1999-02-28,1999,2,601.4801
1999-03-31,1999,3,835.737
1999-04-30,1999,4,508.26138
1999-05-31,1999,5,560.07886
1999-06-30,1999,6,511.54602
1999-07-31,1999,7,335.35236
1999-08-31,1999,8,387.43134
1999-09-30,1999,9,653.2083
1999-10-31,1999,10,556.5117
1999-11-30,1999,11,611.14496
1999-12-31,1999,12,723.44324
2000-01-31,2000,1,521.2386
2000-02-29,2000,2,617.15857
2000-03-31,2000,3,681.523
2000-04-30,2000,4,684.0906
2000-05-31,2000,5,710.3683
2000-06-30,2000,6,549.9938
2000-07-31,2000,7,361.38013
2000-08-31,2000,8,328.7163
2000-09-30,2000,9,599.8058
2000-10-31,2000,10,443.39594
2000-11-30,2000,11,486.03455
2000-12-31,2000,12,330.08945
2001-01-31,2001,1,385.82037
2001-02-28,2001,2,305.55472
2001-03-31,2001,3,645.1159
2001-04-30,2001,4,390.03546
2001-05-31,2001,5,558.1508
2001-06-30,2001,6,305.91257
2001-07-31,2001,7,328.10815
2001-08-31,2001,8,170.28503
2001-09-30,2001,9,570.613
2001-10-31,2001,10,518.03546
2001-11-30,2001,11,686.3684
2001-12-31,2001,12,430.28415
2002-01-31,2002,1,372.91434
2002-02-28,2002,2,287.09924
2002-03-31,2002,3,657.1173
2002-04-30,2002,4,735.4769
2002-05-31,2002,5,578.9527
2002-06-30,2002,6,287.5523
2002-07-31,2002,7,303.23245
2002-08-31,2002,8,295.6853
2002-09-30,2002,9,356.54257
2002-10-31,2002,10,587.87915
2002-11-30,2002,11,523.97736
2002-12-31,2002,12,411.00214
2003-01-31,2003,1,203.14806
2003-02-28,2003,2,421.9243
2003-03-31,2003,3,504.43536
2003-04-30,2003,4,479.38684
2003-05-31,2003,5,417.4721
2003-06-30,2003,6,460.3526
2003-07-31,2003,7,264.95914
2003-08-31,2003,8,328.523
2003-09-30,2003,9,454.00058
2003-10-31,2003,10,636.3248
2003-11-30,2003,11,656.91833
2003-12-31,2003,12,349.90936
2004-01-31,2004,1,386.18958
2004-02-29,2004,2,349.70065
2004-03-31,2004,3,278.69473
2004-04-30,2004,4,655.2946
2004-05-31,2004,5,577.6295
2004-06-30,2004,6,198.77481
2004-07-31,2004,7,382.90314
2004-08-31,2004,8,232.218
2004-09-30,2004,9,426.92035
2004-10-31,2004,10,613.88806
2004-11-30,2004,11,595.18604
2004-12-31,2004,12,452.80655
2005-01-31,2005,1,298.44177
2005-02-28,2005,2,313.9105
2005-03-31,2005,3,556.8278
2005-04-30,2005,4,652.0064
2005-05-31,2005,5,458.62723
2005-06-30,2005,6,310.99017
2005-07-31,2005,7,359.496
2005-08-31,2005,8,279.7538
2005-09-30,2005,9,386.7052
2005-10-31,2005,10,587.7836
2005-11-30,2005,11,582.7719
2005-12-31,2005,12,727.04407
2006-01-31,2006,1,583.1475
2006-02-28,2006,2,430.0888
2006-03-31,2006,3,759.0868
2006-04-30,2006,4,547.541
2006-05-31,2006,5,427.6478
2006-06-30,2006,6,417.9666
2006-07-31,2006,7,246.88855
2006-08-31,2006,8,269.94217
2006-09-30,2006,9,333.2721
2006-10-31,2006,10,608.7342
2006-11-30,2006,11,615.9643
2006-12-31,2006,12,618.9212
2007-01-31,2007,1,336.55167
2007-02-28,2007,2,291.5948
2007-03-31,2007,3,611.1641
2007-04-30,2007,4,780.59296
2007-05-31,2007,5,600.8841
2007-06-30,2007,6,406.5624
2007-07-31,2007,7,361.19437
2007-08-31,2007,8,431.74655
2007-09-30,2007,9,312.50806
2007-10-31,2007,10,683.4004
2007-11-30,2007,11,637.49445
2007-12-31,2007,12,635.5047
2008-01-31,2008,1,445.90515
2008-02-29,2008,2,457.9396
2008-03-31,2008,3,668.1166
2008-04-30,2008,4,667.2702
2008-05-31,2008,5,625.8656
2008-06-30,2008,6,496.54907
2008-07-31,2008,7,419.78296
2008-08-31,2008,8,445.31055
2008-09-30,2008,9,389.9
2008-10-31,2008,10,642.913
2008-11-30,2008,11,643.05664
2008-12-31,2008,12,620.9489
2009-01-31,2009,1,580.86304
2009-02-28,2009,2,557.9762
2009-03-31,2009,3,650.3229
2009-04-30,2009,4,684.4358
2009-05-31,2009,5,494.0137
2009-06-30,2009,6,370.55875
2009-07-31,2009,7,253.50671
2009-08-31,2009,8,406.37006
2009-09-30,2009,9,293.55994
2009-10-31,2009,10,503.52878
2009-11-30,2009,11,550.7744
2009-12-31,2009,12,454.6333
2010-01-31,2010,1,183.7044
2010-02-28,2010,2,295.40427
2010-03-31,2010,3,600.581
2010-04-30,2010,4,828.7109
2010-05-31,2010,5,636.6962
2010-06-30,2010,6,471.49823
2010-07-31,2010,7,643.0576
2010-08-31,2010,8,408.66595
2010-09-30,2010,9,513.88855
2010-10-31,2010,10,543.1712
2010-11-30,2010,11,911.0777
2010-12-31,2010,12,752.79315
2011-01-31,2011,1,567.4697
2011-02-28,2011,2,425.73898
2011-03-31,2011,3,555.51843
2011-04-30,2011,4,787.78375
2011-05-31,2011,5,402.00702
2011-06-30,2011,6,400.71912
2011-07-31,2011,7,367.60736
2011-08-31,2011,8,351.15298
2011-09-30,2011,9,446.66458
2011-10-31,2011,10,634.1515
2011-11-30,2011,11,584.86536
2011-12-31,2011,12,631.777
2012-01-31,2012,1,563.99585
2012-02-29,2012,2,730.5113
2012-03-31,2012,3,579.6966
2012-04-30,2012,4,717.5388
2012-05-31,2012,5,455.9657
2012-06-30,2012,6,318.22888
2012-07-31,2012,7,247.13231
2012-08-31,2012,8,351.45667
2012-09-30,2012,9,312.30368
2012-10-31,2012,10,563.1361
2012-11-30,2012,11,573.1552
2012-12-31,2012,12,405.5762
2013-01-31,2013,1,118.99425
2013-02-28,2013,2,650.5228
2013-03-31,2013,3,833.62317
2013-04-30,2013,4,608.4942
2013-05-31,2013,5,681.2931
2013-06-30,2013,6,377.1524
2013-07-31,2013,7,269.38498
2013-08-31,2013,8,399.33267
2013-09-30,2013,9,431.5961
2013-10-31,2013,10,592.34625
2013-11-30,2013,11,584.97437
2013-12-31,2013,12,481.99582
2014-01-31,2014,1,435.70776
2014-02-28,2014,2,506.80838
2014-03-31,2014,3,696.3635
2014-04-30,2014,4,604.05896
2014-05-31,2014,5,634.2306
2014-06-30,2014,6,346.1879
2014-07-31,2014,7,197.90805
2014-08-31,2014,8,318.97614
2014-09-30,2014,9,425.51318
2014-10-31,2014,10,500.2984
2014-11-30,2014,11,534.9432
2014-12-31,2014,12,401.42154
