time,Year,Month,Day,tas
1985-01-01,1985,1,1,12.6614685
1985-01-02,1985,1,2,12.4166565
1985-01-03,1985,1,3,12.579529
1985-01-04,1985,1,4,12.580231
1985-01-05,1985,1,5,12.2677
1985-01-06,1985,1,6,12.030701
1985-01-07,1985,1,7,12.082825
1985-01-08,1985,1,8,12.815796
1985-01-09,1985,1,9,12.336029
1985-01-10,1985,1,10,12.300171
1985-01-11,1985,1,11,11.806122
1985-01-12,1985,1,12,12.419495
1985-01-13,1985,1,13,12.283173
1985-01-14,1985,1,14,12.097321
1985-01-15,1985,1,15,12.115204
1985-01-16,1985,1,16,11.374176
1985-01-17,1985,1,17,11.480774
1985-01-18,1985,1,18,11.672546
1985-01-19,1985,1,19,11.796753
1985-01-20,1985,1,20,11.71991
1985-01-21,1985,1,21,11.640747
1985-01-22,1985,1,22,11.7803955
1985-01-23,1985,1,23,11.560577
1985-01-24,1985,1,24,10.908081
1985-01-25,1985,1,25,11.333679
1985-01-26,1985,1,26,10.854431
1985-01-27,1985,1,27,11.169739
1985-01-28,1985,1,28,11.431122
1985-01-29,1985,1,29,12.096436
1985-01-30,1985,1,30,11.520142
1985-01-31,1985,1,31,11.340515
1985-02-01,1985,2,1,11.588654
1985-02-02,1985,2,2,11.478638
1985-02-03,1985,2,3,11.644226
1985-02-04,1985,2,4,11.571777
1985-02-05,1985,2,5,11.793335
1985-02-06,1985,2,6,12.261963
1985-02-07,1985,2,7,12.407532
1985-02-08,1985,2,8,11.7907715
1985-02-09,1985,2,9,11.901581
1985-02-10,1985,2,10,11.7335205
1985-02-11,1985,2,11,12.262695
1985-02-12,1985,2,12,11.874878
1985-02-13,1985,2,13,12.2742
1985-02-14,1985,2,14,12.206177
1985-02-15,1985,2,15,11.60791
1985-02-16,1985,2,16,12.450409
1985-02-17,1985,2,17,12.617493
1985-02-18,1985,2,18,12.731903
1985-02-19,1985,2,19,12.666626
1985-02-20,1985,2,20,12.298981
1985-02-21,1985,2,21,12.518738
1985-02-22,1985,2,22,12.2789
1985-02-23,1985,2,23,11.974609
1985-02-24,1985,2,24,11.873322
1985-02-25,1985,2,25,12.203033
1985-02-26,1985,2,26,12.01062
1985-02-27,1985,2,27,12.351501
1985-02-28,1985,2,28,12.092194
1985-03-01,1985,3,1,12.797089
1985-03-02,1985,3,2,12.914612
1985-03-03,1985,3,3,12.86908
1985-03-04,1985,3,4,12.653503
1985-03-05,1985,3,5,12.210358
1985-03-06,1985,3,6,12.369476
1985-03-07,1985,3,7,12.482971
1985-03-08,1985,3,8,12.512573
1985-03-09,1985,3,9,12.744171
1985-03-10,1985,3,10,12.733429
1985-03-11,1985,3,11,12.650452
1985-03-12,1985,3,12,13.193756
1985-03-13,1985,3,13,12.855713
1985-03-14,1985,3,14,13.182129
1985-03-15,1985,3,15,13.738831
1985-03-16,1985,3,16,13.221191
1985-03-17,1985,3,17,13.196808
1985-03-18,1985,3,18,13.033569
1985-03-19,1985,3,19,12.674957
1985-03-20,1985,3,20,11.941284
1985-03-21,1985,3,21,11.717804
1985-03-22,1985,3,22,12.657654
1985-03-23,1985,3,23,12.347961
1985-03-24,1985,3,24,12.058746
1985-03-25,1985,3,25,13.135254
1985-03-26,1985,3,26,13.498138
1985-03-27,1985,3,27,13.307434
1985-03-28,1985,3,28,13.01532
1985-03-29,1985,3,29,13.420929
1985-03-30,1985,3,30,13.3446045
1985-03-31,1985,3,31,12.310211
1985-04-01,1985,4,1,12.279999
1985-04-02,1985,4,2,12.262817
1985-04-03,1985,4,3,12.9453125
1985-04-04,1985,4,4,12.618103
1985-04-05,1985,4,5,12.690918
1985-04-06,1985,4,6,12.923584
1985-04-07,1985,4,7,12.482941
1985-04-08,1985,4,8,12.367371
1985-04-09,1985,4,9,12.436737
1985-04-10,1985,4,10,12.085144
1985-04-11,1985,4,11,12.016357
1985-04-12,1985,4,12,12.761139
1985-04-13,1985,4,13,13.07901
1985-04-14,1985,4,14,12.892334
1985-04-15,1985,4,15,12.840149
1985-04-16,1985,4,16,13.263428
1985-04-17,1985,4,17,13.4331665
1985-04-18,1985,4,18,13.071808
1985-04-19,1985,4,19,13.497864
1985-04-20,1985,4,20,12.876099
1985-04-21,1985,4,21,12.8680725
1985-04-22,1985,4,22,12.523224
1985-04-23,1985,4,23,13.054382
1985-04-24,1985,4,24,13.265564
1985-04-25,1985,4,25,12.552521
1985-04-26,1985,4,26,12.509949
1985-04-27,1985,4,27,12.620239
1985-04-28,1985,4,28,12.390869
1985-04-29,1985,4,29,12.93219
1985-04-30,1985,4,30,13.034882
1985-05-01,1985,5,1,12.955872
1985-05-02,1985,5,2,13.080353
1985-05-03,1985,5,3,12.840454
1985-05-04,1985,5,4,12.784363
1985-05-05,1985,5,5,12.725983
1985-05-06,1985,5,6,13.001648
1985-05-07,1985,5,7,13.030334
1985-05-08,1985,5,8,13.182617
1985-05-09,1985,5,9,12.659943
1985-05-10,1985,5,10,12.248291
1985-05-11,1985,5,11,12.206268
1985-05-12,1985,5,12,12.110718
1985-05-13,1985,5,13,12.239258
1985-05-14,1985,5,14,12.843109
1985-05-15,1985,5,15,12.915283
1985-05-16,1985,5,16,12.227539
1985-05-17,1985,5,17,11.988281
1985-05-18,1985,5,18,12.001862
1985-05-19,1985,5,19,12.569092
1985-05-20,1985,5,20,12.448822
1985-05-21,1985,5,21,12.737183
1985-05-22,1985,5,22,12.477295
1985-05-23,1985,5,23,12.617096
1985-05-24,1985,5,24,12.781342
1985-05-25,1985,5,25,12.970154
1985-05-26,1985,5,26,13.1718445
1985-05-27,1985,5,27,13.066162
1985-05-28,1985,5,28,13.663544
1985-05-29,1985,5,29,13.3376465
1985-05-30,1985,5,30,13.569916
1985-05-31,1985,5,31,13.533569
1985-06-01,1985,6,1,12.782166
1985-06-02,1985,6,2,12.031952
1985-06-03,1985,6,3,12.139954
1985-06-04,1985,6,4,12.803833
1985-06-05,1985,6,5,12.773132
1985-06-06,1985,6,6,12.633942
1985-06-07,1985,6,7,12.588867
1985-06-08,1985,6,8,12.820526
1985-06-09,1985,6,9,12.47348
1985-06-10,1985,6,10,11.839691
1985-06-11,1985,6,11,12.47287
1985-06-12,1985,6,12,12.111511
1985-06-13,1985,6,13,12.373779
1985-06-14,1985,6,14,13.02652
1985-06-15,1985,6,15,13.220215
1985-06-16,1985,6,16,13.11795
1985-06-17,1985,6,17,12.597717
1985-06-18,1985,6,18,12.472107
1985-06-19,1985,6,19,13.071472
1985-06-20,1985,6,20,13.3081665
1985-06-21,1985,6,21,13.639465
1985-06-22,1985,6,22,13.427521
1985-06-23,1985,6,23,13.098755
1985-06-24,1985,6,24,13.055176
1985-06-25,1985,6,25,13.046997
