time,Year,Month,tas
1985-01-31,1985,1,11.886208
1985-02-28,1985,2,12.0880785
1985-03-31,1985,3,12.799678
1985-04-30,1985,4,12.752539
1985-05-31,1985,5,12.773737
1985-06-30,1985,6,12.721605
1985-07-31,1985,7,12.04638
1985-08-31,1985,8,12.251118
1985-09-30,1985,9,12.446588
1985-10-31,1985,10,12.374931
1985-11-30,1985,11,12.206763
1985-12-31,1985,12,12.19328
1986-01-31,1986,1,12.181813
1986-02-28,1986,2,12.070597
1986-03-31,1986,3,12.154534
1986-04-30,1986,4,12.849003
1986-05-31,1986,5,13.203401
1986-06-30,1986,6,12.666968
1986-07-31,1986,7,12.488014
1986-08-31,1986,8,12.746069
1986-09-30,1986,9,12.946629
1986-10-31,1986,10,12.50652
1986-11-30,1986,11,12.732022
1986-12-31,1986,12,12.727612
1987-01-31,1987,1,12.843206
1987-02-28,1987,2,13.517715
1987-03-31,1987,3,13.301305
1987-04-30,1987,4,13.444871
1987-05-31,1987,5,13.187804
1987-06-30,1987,6,13.519488
1987-07-31,1987,7,13.235195
1987-08-31,1987,8,13.1497135
1987-09-30,1987,9,13.07977
1987-10-31,1987,10,12.970553
1987-11-30,1987,11,13.147418
1987-12-31,1987,12,13.183687
1988-01-31,1988,1,12.859534
1988-02-29,1988,2,13.191721
1988-03-31,1988,3,13.153437
1988-04-30,1988,4,13.1240835
1988-05-31,1988,5,13.213032
1988-06-30,1988,6,12.65451
1988-07-31,1988,7,12.431517
1988-08-31,1988,8,12.664268
1988-09-30,1988,9,12.445645
1988-10-31,1988,10,12.658518
1988-11-30,1988,11,12.4431305
1988-12-31,1988,12,11.785415
1989-01-31,1989,1,12.106835
1989-02-28,1989,2,12.025042
1989-03-31,1989,3,12.141297
1989-04-30,1989,4,12.752921
1989-05-31,1989,5,12.704235
1989-06-30,1989,6,12.549738
1989-07-31,1989,7,12.422431
1989-08-31,1989,8,12.5506735
1989-09-30,1989,9,12.605783
1989-10-31,1989,10,12.557012
1989-11-30,1989,11,12.788919
