time,Year,Month,pr
1985-01-31,1985,1,123.08801170438528
1985-02-28,1985,2,186.75094842910767
1985-03-31,1985,3,192.1141334809363
1985-04-30,1985,4,227.82515482977033
1985-05-31,1985,5,136.88893765211105
1985-06-30,1985,6,175.26582162827253
1985-07-31,1985,7,86.98649005964398
1985-08-31,1985,8,159.5271673053503
1985-09-30,1985,9,93.11363697052002
1985-10-31,1985,10,331.48768600076437
1985-11-30,1985,11,230.64985536038876
1985-12-31,1985,12,192.91440322995186
1986-01-31,1986,1,79.63245380669832
1986-02-28,1986,2,97.86055851727788
1986-03-31,1986,3,160.1627502590418
1986-04-30,1986,4,180.53314872086048
1986-05-31,1986,5,285.545770637691
1986-06-30,1986,6,115.63789620995522
1986-07-31,1986,7,77.98678278923035
1986-08-31,1986,8,130.44919185340405
1986-09-30,1986,9,216.2135224789381
1986-10-31,1986,10,353.7686353549361
1986-11-30,1986,11,256.68142810463905
1986-12-31,1986,12,24.3873274885118
1987-01-31,1987,1,73.79803312942386
1987-02-28,1987,2,170.47919752076268
1987-03-31,1987,3,147.02515052631497
1987-04-30,1987,4,169.53221764415503
1987-05-31,1987,5,207.11585506796837
1987-06-30,1987,6,73.02527781575918
1987-07-31,1987,7,89.3017259426415
1987-08-31,1987,8,160.52910313010216
1987-09-30,1987,9,302.8834003955126
1987-10-31,1987,10,196.526310313493
1987-11-30,1987,11,263.8265009969473
1987-12-31,1987,12,130.72962183505297
1988-01-31,1988,1,60.24966817349208
1988-02-29,1988,2,92.18418868258595
1988-03-31,1988,3,147.62729471549392
1988-04-30,1988,4,307.18125477433205
1988-05-31,1988,5,200.31102374196053
1988-06-30,1988,6,145.2852183021605
1988-07-31,1988,7,88.74517092481256
1988-08-31,1988,8,260.0450338795781
1988-09-30,1988,9,256.95048719644547
1988-10-31,1988,10,345.0800735503435
1988-11-30,1988,11,225.88724037632346
1988-12-31,1988,12,97.94292077422142
1989-01-31,1989,1,80.41634364053607
1989-02-28,1989,2,133.02262891083956
1989-03-31,1989,3,211.7574437521398
1989-04-30,1989,4,227.14174473658215
1989-05-31,1989,5,281.3504856079817
1989-06-30,1989,6,155.0549928098917
1989-07-31,1989,7,112.73639816790819
1989-08-31,1989,8,227.70241107791662
1989-09-30,1989,9,233.89806244522333
1989-10-31,1989,10,316.78058663383126
1989-11-30,1989,11,222.68907073885202
1989-12-31,1989,12,103.92079520970607
1990-01-31,1990,1,122.8010010905565
1990-02-28,1990,2,68.16788613796234
1990-03-31,1990,3,104.47861757129431
1990-04-30,1990,4,225.98928166553378
1990-05-31,1990,5,282.28793777525425
1990-06-30,1990,6,202.3045931942761
1990-07-31,1990,7,114.31234516203403
1990-08-31,1990,8,178.6110509186983
1990-09-30,1990,9,343.7759315595031
1990-10-31,1990,10,341.56132377684116
1990-11-30,1990,11,184.49415117502213
1990-12-31,1990,12,134.25389863550663
1991-01-31,1991,1,54.38835667446256
1991-02-28,1991,2,82.74123799055826
1991-03-31,1991,3,206.68746018782258
1991-04-30,1991,4,224.19911585748196
1991-05-31,1991,5,113.28297536820173
1991-06-30,1991,6,125.6017679348588
1991-07-31,1991,7,87.62451969087124
1991-08-31,1991,8,145.3824995085597
1991-09-30,1991,9,176.46569944918156
1991-10-31,1991,10,277.677683159709
1991-11-30,1991,11,179.59785908460617
1991-12-31,1991,12,98.0177141726017
1992-01-31,1992,1,49.240383692085885
1992-02-29,1992,2,99.01537271216525
1992-03-31,1992,3,225.88061951100826
1992-04-30,1992,4,200.23912461474538
1992-05-31,1992,5,181.57341415062547
1992-06-30,1992,6,72.48650081455708
1992-07-31,1992,7,91.1709850654006
1992-08-31,1992,8,154.31305607780814
1992-09-30,1992,9,200.42686248198152
1992-10-31,1992,10,373.64625837653875
1992-11-30,1992,11,137.9040020518005
1992-12-31,1992,12,66.72220649197698
1993-01-31,1993,1,62.22833376377821
1993-02-28,1993,2,119.1525824368
1993-03-31,1993,3,231.87180357053876
1993-04-30,1993,4,151.89856002107263
1993-05-31,1993,5,136.27908881753683
1993-06-30,1993,6,115.33204894512892
1993-07-31,1993,7,98.12152069061995
1993-08-31,1993,8,75.17697103321552
1993-09-30,1993,9,159.47412494570017
1993-10-31,1993,10,374.85655657947063
1993-11-30,1993,11,243.1490683928132
1993-12-31,1993,12,141.93652141839266
1994-01-31,1994,1,176.9751314073801
1994-02-28,1994,2,95.83858698606491
1994-03-31,1994,3,250.6152268499136
1994-04-30,1994,4,128.3190133050084
1994-05-31,1994,5,154.4415883719921
1994-06-30,1994,6,158.03240071982145
1994-07-31,1994,7,91.27887021750212
1994-08-31,1994,8,84.29400064051151
1994-09-30,1994,9,338.7727852910757
1994-10-31,1994,10,258.8265884667635
1994-11-30,1994,11,268.500505015254
1994-12-31,1994,12,64.70875181257725
1995-01-31,1995,1,139.90349583327807
1995-02-28,1995,2,95.1146973297
1995-03-31,1995,3,157.84560330212116
1995-04-30,1995,4,224.62468184530735
1995-05-31,1995,5,270.5172512680292
1995-06-30,1995,6,99.90818370133638
1995-07-31,1995,7,121.6566625982523
1995-08-31,1995,8,88.53654954582453
1995-09-30,1995,9,139.461057074368
1995-10-31,1995,10,309.62120834738016
1995-11-30,1995,11,305.66164422780275
1995-12-31,1995,12,106.41937097534537
1996-01-31,1996,1,31.219892017543682
1996-02-29,1996,2,184.94519479572773
1996-03-31,1996,3,104.28778678178787
1996-04-30,1996,4,152.27403324097395
1996-05-31,1996,5,219.84883770346642
1996-06-30,1996,6,207.22054671496153
1996-07-31,1996,7,107.90297035127878
1996-08-31,1996,8,193.128302693367
1996-09-30,1996,9,321.54395347461104
1996-10-31,1996,10,230.3398037329316
1996-11-30,1996,11,250.8402558043599
1996-12-31,1996,12,94.52077075839043
1997-01-31,1997,1,131.61341305822134
1997-02-28,1997,2,172.5810695439577
1997-03-31,1997,3,157.9951599240303
1997-04-30,1997,4,212.30874583125114
1997-05-31,1997,5,215.13420827686787
1997-06-30,1997,6,160.73339190334082
1997-07-31,1997,7,112.26652292534709
1997-08-31,1997,8,212.1801808476448
1997-09-30,1997,9,208.90242252498865
1997-10-31,1997,10,411.02348724380136
1997-11-30,1997,11,268.6318712309003
1997-12-31,1997,12,65.43034818023457
1998-01-31,1998,1,174.6375259011984
1998-02-28,1998,2,82.27039966732289
1998-03-31,1998,3,245.4759567975998
1998-04-30,1998,4,225.67503321915865
1998-05-31,1998,5,187.8468462266028
1998-06-30,1998,6,123.80423191934824
1998-07-31,1998,7,110.74358560144901
1998-08-31,1998,8,120.15850637108088
1998-09-30,1998,9,231.78773391991854
1998-10-31,1998,10,283.79601147025824
1998-11-30,1998,11,184.42710768431425
1998-12-31,1998,12,105.59439305216074
1999-01-31,1999,1,41.83728564530611
1999-02-28,1999,2,77.15732390061021
1999-03-31,1999,3,243.82272697985172
1999-04-30,1999,4,221.02362513542175
1999-05-31,1999,5,186.97522804141045
1999-06-30,1999,6,94.75309699773788
1999-07-31,1999,7,129.9864730797708
1999-08-31,1999,8,113.04081212729216
1999-09-30,1999,9,106.29618717357516
1999-10-31,1999,10,281.70705679804087
1999-11-30,1999,11,191.9312261044979
1999-12-31,1999,12,137.8920653834939
2000-01-31,2000,1,126.08720082789685
2000-02-29,2000,2,133.81802290678024
2000-03-31,2000,3,163.68162827566266
2000-04-30,2000,4,208.8880492374301
2000-05-31,2000,5,138.3033536374569
2000-06-30,2000,6,102.0478019490838
2000-07-31,2000,7,136.34995194151998
2000-08-31,2000,8,70.46361900866032
2000-09-30,2000,9,277.1888053044677
2000-10-31,2000,10,246.9116309657693
2000-11-30,2000,11,291.84439117088914
2000-12-31,2000,12,75.6452470086515
2001-01-31,2001,1,98.01940899342299
2001-02-28,2001,2,66.21558079496039
2001-03-31,2001,3,249.45588391274214
2001-04-30,2001,4,151.45447924733162
2001-05-31,2001,5,238.26590236276388
2001-06-30,2001,6,90.80711156129837
2001-07-31,2001,7,102.5531753897667
2001-08-31,2001,8,73.6958535388112
2001-09-30,2001,9,115.63037261366844
2001-10-31,2001,10,235.61214487999678
2001-11-30,2001,11,230.56660797446966
2001-12-31,2001,12,165.73567567393184
2002-01-31,2002,1,67.98012312501669
2002-02-28,2002,2,129.69557996839296
2002-03-31,2002,3,197.7169219404459
2002-04-30,2002,4,132.50448144972324
2002-05-31,2002,5,172.90217522531748
2002-06-30,2002,6,106.25261720269918
2002-07-31,2002,7,73.35924804210663
2002-08-31,2002,8,187.2795288451016
2002-09-30,2002,9,222.02999414876103
2002-10-31,2002,10,419.7425960563123
2002-11-30,2002,11,175.1300297677517
2002-12-31,2002,12,142.10848789662123
2003-01-31,2003,1,121.74849221482899
2003-02-28,2003,2,103.88800017535686
2003-03-31,2003,3,189.09645723178983
2003-04-30,2003,4,255.49361016601324
2003-05-31,2003,5,194.9276441708207
2003-06-30,2003,6,181.8909466266632
2003-07-31,2003,7,96.62692006677389
2003-08-31,2003,8,128.6487489938736
2003-09-30,2003,9,280.862975679338
2003-10-31,2003,10,290.7343262806535
2003-11-30,2003,11,246.48656034842134
2003-12-31,2003,12,175.20733019337058
2004-01-31,2004,1,80.06818369030952
2004-02-29,2004,2,262.1989097446203
2004-03-31,2004,3,105.9401289559902
2004-04-30,2004,4,204.00841366499662
2004-05-31,2004,5,133.74333512037992
2004-06-30,2004,6,110.00125408172607
2004-07-31,2004,7,140.18279677256942
2004-08-31,2004,8,213.29597644507885
2004-09-30,2004,9,285.17792662605643
2004-10-31,2004,10,352.7527989819646
2004-11-30,2004,11,242.47410222887993
2004-12-31,2004,12,164.66236878186464
2005-01-31,2005,1,120.2795427292589
2005-02-28,2005,2,138.0529652349651
2005-03-31,2005,3,136.13461162894964
2005-04-30,2005,4,233.23698425665498
2005-05-31,2005,5,155.2237255498767
2005-06-30,2005,6,105.87827805429697
2005-07-31,2005,7,124.95983317494392
2005-08-31,2005,8,206.0851877555251
2005-09-30,2005,9,283.0483339726925
2005-10-31,2005,10,512.776005640626
2005-11-30,2005,11,329.0106877684593
2005-12-31,2005,12,160.4643378406763
2006-01-31,2006,1,121.83428434655083
2006-02-28,2006,2,93.84684059768915
2006-03-31,2006,3,184.36279501765966
2006-04-30,2006,4,160.26691887527704
2006-05-31,2006,5,152.08775885403156
2006-06-30,2006,6,153.30413477495313
2006-07-31,2006,7,81.71586133539677
2006-08-31,2006,8,157.3297742754221
2006-09-30,2006,9,222.66277838498354
2006-10-31,2006,10,314.0387864783406
2006-11-30,2006,11,270.9825374186039
2006-12-31,2006,12,118.58024094253778
2007-01-31,2007,1,90.91298505663885
2007-02-28,2007,2,68.72723735868942
2007-03-31,2007,3,344.2426912486553
2007-04-30,2007,4,173.7445967271924
2007-05-31,2007,5,303.03080454468727
2007-06-30,2007,6,204.82212379574776
2007-07-31,2007,7,138.68273198604584
2007-08-31,2007,8,191.87214877456427
2007-09-30,2007,9,211.46425735205412
2007-10-31,2007,10,342.2999161295593
2007-11-30,2007,11,260.2275112643838
2007-12-31,2007,12,233.3109981380403
2008-01-31,2008,1,125.90925972908735
2008-02-29,2008,2,113.77540631219745
2008-03-31,2008,3,88.08210119605081
2008-04-30,2008,4,190.2072060853243
2008-05-31,2008,5,250.8118713274598
2008-06-30,2008,6,96.88408523797989
2008-07-31,2008,7,132.49452374875546
2008-08-31,2008,8,129.11058515310287
2008-09-30,2008,9,216.25658199191093
2008-10-31,2008,10,280.3364848718047
2008-11-30,2008,11,174.4849668815732
2008-12-31,2008,12,81.38861004263163
2009-01-31,2009,1,54.30216221138835
2009-02-28,2009,2,182.77153177186847
2009-03-31,2009,3,166.2230120971799
2009-04-30,2009,4,173.83445743471384
2009-05-31,2009,5,196.79724778980017
2009-06-30,2009,6,86.46129928529263
2009-07-31,2009,7,94.68924701213837
2009-08-31,2009,8,161.61028314381838
2009-09-30,2009,9,152.60469932109118
2009-10-31,2009,10,282.83778643235564
2009-11-30,2009,11,386.0830245539546
2009-12-31,2009,12,152.4478705599904
2010-01-31,2010,1,109.22499597072614
2010-02-28,2010,2,145.9150353446604
2010-03-31,2010,3,217.31532951816916
2010-04-30,2010,4,334.46120135486126
2010-05-31,2010,5,160.9321989119053
2010-06-30,2010,6,207.84056950360537
2010-07-31,2010,7,96.50573786348104
2010-08-31,2010,8,172.9407286271453
2010-09-30,2010,9,354.33572391048074
2010-10-31,2010,10,310.1856540888548
2010-11-30,2010,11,156.44481629133224
2010-12-31,2010,12,114.47041612118483
2011-01-31,2011,1,50.21476987749338
2011-02-28,2011,2,8.243346959353142
2011-03-31,2011,3,195.15683725476265
2011-04-30,2011,4,283.6041295900941
2011-05-31,2011,5,201.5079041942954
2011-06-30,2011,6,121.12052841112018
2011-07-31,2011,7,129.82454225420952
2011-08-31,2011,8,99.92493828758597
2011-09-30,2011,9,183.70370585471392
2011-10-31,2011,10,324.8821344226599
2011-11-30,2011,11,259.296546690166
2011-12-31,2011,12,86.5642961114645
2012-01-31,2012,1,57.85504728555679
2012-02-29,2012,2,23.63938093185439
2012-03-31,2012,3,156.56400946900274
2012-04-30,2012,4,98.19822013378143
2012-05-31,2012,5,241.77683182060719
2012-06-30,2012,6,78.59414219856262
2012-07-31,2012,7,99.35732167214155
2012-08-31,2012,8,62.042185105383396
2012-09-30,2012,9,205.02952560782433
2012-10-31,2012,10,292.2438785433769
2012-11-30,2012,11,220.26067916303873
2012-12-31,2012,12,94.40550785511745
2013-01-31,2013,1,53.361624665558594
2013-02-28,2013,2,124.77043317630887
2013-03-31,2013,3,187.89230212569237
2013-04-30,2013,4,147.0861665904522
2013-05-31,2013,5,134.16568748652935
2013-06-30,2013,6,74.99797884374857
2013-07-31,2013,7,113.23999129235744
2013-08-31,2013,8,84.54540241509676
2013-09-30,2013,9,156.06609927490354
2013-10-31,2013,10,310.07977556437254
2013-11-30,2013,11,324.4067246094346
2013-12-31,2013,12,147.38881532102823
2014-01-31,2014,1,46.57964576035738
2014-02-28,2014,2,89.91780588403356
2014-03-31,2014,3,143.2674259878695
2014-04-30,2014,4,215.3675302863121
2014-05-31,2014,5,175.85036382079124
2014-06-30,2014,6,108.9230664074421
2014-07-31,2014,7,183.28382531180978
2014-08-31,2014,8,228.870979975909
2014-09-30,2014,9,228.50284930318594
