time,Year,Month,tas
1985-01-31,1985,1,18.205551
1985-02-28,1985,2,18.658566
1985-03-31,1985,3,18.967037
1985-04-30,1985,4,18.170788
1985-05-31,1985,5,17.760923
1985-06-30,1985,6,17.105886
1985-07-31,1985,7,15.827801
1985-08-31,1985,8,16.345488
1985-09-30,1985,9,17.966072
1985-10-31,1985,10,18.152414
1985-11-30,1985,11,18.54605
1985-12-31,1985,12,17.974531
1986-01-31,1986,1,18.773788
1986-02-28,1986,2,18.667334
1986-03-31,1986,3,19.551584
1986-04-30,1986,4,18.578413
1986-05-31,1986,5,18.620161
1986-06-30,1986,6,16.904793
1986-07-31,1986,7,16.588818
1986-08-31,1986,8,17.731106
1986-09-30,1986,9,18.378687
1986-10-31,1986,10,18.537716
1986-11-30,1986,11,18.147041
1986-12-31,1986,12,18.619467
1987-01-31,1987,1,19.198545
1987-02-28,1987,2,18.95279
1987-03-31,1987,3,19.806345
1987-04-30,1987,4,19.113386
1987-05-31,1987,5,17.593004
1987-06-30,1987,6,16.839184
1987-07-31,1987,7,16.641487
1987-08-31,1987,8,17.351175
1987-09-30,1987,9,17.970007
1987-10-31,1987,10,18.18126
1987-11-30,1987,11,18.370378
1987-12-31,1987,12,18.016314
1988-01-31,1988,1,18.54696
1988-02-29,1988,2,19.54106
1988-03-31,1988,3,19.782291
1988-04-30,1988,4,17.94489
1988-05-31,1988,5,17.809961
1988-06-30,1988,6,15.663496
1988-07-31,1988,7,14.795432
1988-08-31,1988,8,17.062317
1988-09-30,1988,9,17.578346
1988-10-31,1988,10,18.04732
1988-11-30,1988,11,17.988783
1988-12-31,1988,12,17.334091
1989-01-31,1989,1,18.483515
1989-02-28,1989,2,18.783169
1989-03-31,1989,3,18.533546
1989-04-30,1989,4,18.290075
1989-05-31,1989,5,17.654026
1989-06-30,1989,6,17.214437
1989-07-31,1989,7,16.146967
1989-08-31,1989,8,16.777962
1989-09-30,1989,9,17.764336
1989-10-31,1989,10,18.041862
1989-11-30,1989,11,18.17786
1989-12-31,1989,12,17.523777
1990-01-31,1990,1,17.924665
1990-02-28,1990,2,18.999063
1990-03-31,1990,3,19.50871
1990-04-30,1990,4,18.792566
1990-05-31,1990,5,18.12809
1990-06-30,1990,6,16.663475
1990-07-31,1990,7,15.740442
1990-08-31,1990,8,17.047295
1990-09-30,1990,9,17.653788
1990-10-31,1990,10,17.906073
1990-11-30,1990,11,18.323418
1990-12-31,1990,12,18.43618
1991-01-31,1991,1,18.400364
1991-02-28,1991,2,18.685251
1991-03-31,1991,3,18.892433
1991-04-30,1991,4,17.811495
