time,Year,Month,Day,pr
1985-01-01,1985,1,1,7.299513
1985-01-02,1985,1,2,1.8478483
1985-01-03,1985,1,3,0.91311336
1985-01-04,1985,1,4,7.040158
1985-01-05,1985,1,5,5.170703
1985-01-06,1985,1,6,7.4399858
1985-01-07,1985,1,7,8.736714
1985-01-08,1985,1,8,4.6736298
1985-01-09,1985,1,9,5.570531
1985-01-10,1985,1,10,4.365653
1985-01-11,1985,1,11,3.2580347
1985-01-12,1985,1,12,3.4903586
1985-01-13,1985,1,13,9.444505
1985-01-14,1985,1,14,11.805638
1985-01-15,1985,1,15,12.983501
1985-01-16,1985,1,16,6.175667
1985-01-17,1985,1,17,1.0860115
1985-01-18,1985,1,18,3.90099
1985-01-19,1985,1,19,9.287819
1985-01-20,1985,1,20,7.6831284
1985-01-21,1985,1,21,11.238321
1985-01-22,1985,1,22,12.1838455
1985-01-23,1985,1,23,12.605294
1985-01-24,1985,1,24,5.332798
1985-01-25,1985,1,25,7.402167
1985-01-26,1985,1,26,11.908293
1985-01-27,1985,1,27,9.536356
1985-01-28,1985,1,28,8.174792
1985-01-29,1985,1,29,4.8303156
1985-01-30,1985,1,30,7.5966716
1985-01-31,1985,1,31,4.212946
1985-02-01,1985,2,1,7.419221
1985-02-02,1985,2,2,8.20791
1985-02-03,1985,2,3,3.325179
1985-02-04,1985,2,4,1.9102842
1985-02-05,1985,2,5,0.03963709
1985-02-06,1985,2,6,0.011891127
1985-02-07,1985,2,7,0.15456975
1985-02-08,1985,2,8,5.0729737
1985-02-09,1985,2,9,6.5076723
1985-02-10,1985,2,10,2.901107
1985-02-11,1985,2,11,0.87983906
1985-02-12,1985,2,12,0.55882335
1985-02-13,1985,2,13,2.0727813
1985-02-14,1985,2,14,1.7438382
1985-02-15,1985,2,15,3.3132882
1985-02-16,1985,2,16,1.6051233
1985-02-17,1985,2,17,0.26157498
1985-02-18,1985,2,18,0.30517578
1985-02-19,1985,2,19,1.085937
1985-02-20,1985,2,20,3.23005
1985-02-21,1985,2,21,2.3502111
1985-02-22,1985,2,22,3.000185
1985-02-23,1985,2,23,8.417964
1985-02-24,1985,2,24,15.088134
1985-02-25,1985,2,25,22.788748
1985-02-26,1985,2,26,9.464264
1985-02-27,1985,2,27,19.80441
1985-02-28,1985,2,28,16.4797
1985-03-01,1985,3,1,2.8558373
1985-03-02,1985,3,2,3.0103624
1985-03-03,1985,3,3,0.78321993
1985-03-04,1985,3,4,1.9927025
1985-03-05,1985,3,5,11.599198
1985-03-06,1985,3,6,11.849612
1985-03-07,1985,3,7,14.742747
1985-03-08,1985,3,8,1.7156303
1985-03-09,1985,3,9,1.7955601
1985-03-10,1985,3,10,11.119663
1985-03-11,1985,3,11,19.037157
1985-03-12,1985,3,12,5.583808
1985-03-13,1985,3,13,7.2941184
1985-03-14,1985,3,14,4.0386767
1985-03-15,1985,3,15,8.397028
1985-03-16,1985,3,16,6.2285066
1985-03-17,1985,3,17,4.8005877
1985-03-18,1985,3,18,14.710784
1985-03-19,1985,3,19,16.953886
1985-03-20,1985,3,20,12.35044
1985-03-21,1985,3,21,1.2094676
1985-03-22,1985,3,22,4.8858376
1985-03-23,1985,3,23,8.183897
1985-03-24,1985,3,24,0.8151978
1985-03-25,1985,3,25,0.44755638
1985-03-26,1985,3,26,2.770588
1985-03-27,1985,3,27,8.706048
1985-03-28,1985,3,28,2.5201738
1985-03-29,1985,3,29,11.780352
1985-03-30,1985,3,30,12.057408
1985-03-31,1985,3,31,12.551561
1985-04-01,1985,4,1,16.702667
1985-04-02,1985,4,2,6.627843
1985-04-03,1985,4,3,9.804628
1985-04-04,1985,4,4,10.0952835
1985-04-05,1985,4,5,8.150726
1985-04-06,1985,4,6,9.64906
1985-04-07,1985,4,7,7.4916334
1985-04-08,1985,4,8,8.441389
1985-04-09,1985,4,9,4.707858
1985-04-10,1985,4,10,8.547828
1985-04-11,1985,4,11,1.5924722
1985-04-12,1985,4,12,0.5976856
1985-04-13,1985,4,13,0.37662685
1985-04-14,1985,4,14,0.7532537
1985-04-15,1985,4,15,4.597321
1985-04-16,1985,4,16,4.1388125
1985-04-17,1985,4,17,1.8012673
1985-04-18,1985,4,18,2.8861165
1985-04-19,1985,4,19,3.72535
1985-04-20,1985,4,20,12.064398
1985-04-21,1985,4,21,13.390787
1985-04-22,1985,4,22,17.988115
1985-04-23,1985,4,23,9.2478695
1985-04-24,1985,4,24,16.895071
1985-04-25,1985,4,25,10.893576
1985-04-26,1985,4,26,8.097514
1985-04-27,1985,4,27,4.1142554
1985-04-28,1985,4,28,11.937491
1985-04-29,1985,4,29,11.491269
1985-04-30,1985,4,30,7.0788116
1985-05-01,1985,5,1,9.151756
1985-05-02,1985,5,2,8.441165
1985-05-03,1985,5,3,9.744674
1985-05-04,1985,5,4,4.707143
1985-05-05,1985,5,5,2.552718
1985-05-06,1985,5,6,3.4126787
1985-05-07,1985,5,7,1.1632144
1985-05-08,1985,5,8,3.3991039
1985-05-09,1985,5,9,10.731355
1985-05-10,1985,5,10,5.494684
1985-05-11,1985,5,11,11.369541
1985-05-12,1985,5,12,13.030619
1985-05-13,1985,5,13,2.738297
1985-05-14,1985,5,14,8.165062
1985-05-15,1985,5,15,5.5580435
1985-05-16,1985,5,16,8.291796
1985-05-17,1985,5,17,7.4589996
1985-05-18,1985,5,18,7.9613924
1985-05-19,1985,5,19,4.598513
1985-05-20,1985,5,20,1.3080537
1985-05-21,1985,5,21,0.7966012
1985-05-22,1985,5,22,1.1767894
1985-05-23,1985,5,23,3.9422364
1985-05-24,1985,5,24,1.2356341
1985-05-25,1985,5,25,1.0591149
1985-05-26,1985,5,26,0.3937781
1985-05-27,1985,5,27,0.34852326
1985-05-28,1985,5,28,0.4888177
1985-05-29,1985,5,29,1.9281209
1985-05-30,1985,5,30,0.52051246
1985-05-31,1985,5,31,1.4316291
1985-06-01,1985,6,1,4.5643597
1985-06-02,1985,6,2,15.377328
1985-06-03,1985,6,3,9.549782
1985-06-04,1985,6,4,10.756835
1985-06-05,1985,6,5,7.8879743
1985-06-06,1985,6,6,2.4309607
1985-06-07,1985,6,7,2.139017
1985-06-08,1985,6,8,0.6456375
1985-06-09,1985,6,9,3.12151
1985-06-10,1985,6,10,0.9600371
1985-06-11,1985,6,11,1.6954988
1985-06-12,1985,6,12,0.42669475
1985-06-13,1985,6,13,0.6737113
1985-06-14,1985,6,14,0.20773709
1985-06-15,1985,6,15,0.17404556
1985-06-16,1985,6,16,0.2526492
1985-06-17,1985,6,17,0.51651895
