time,Year,Month,pr
1985-01-31,1985,1,217.1953
1985-02-28,1985,2,148.00049
1985-03-31,1985,3,226.78761
1985-04-30,1985,4,233.88698
1985-05-31,1985,5,142.60057
1985-06-30,1985,6,70.37544
1985-07-31,1985,7,47.99753
1985-08-31,1985,8,58.864338
1985-09-30,1985,9,167.59866
1985-10-31,1985,10,255.9769
1985-11-30,1985,11,209.02039
1985-12-31,1985,12,172.7567
1986-01-31,1986,1,215.68628
1986-02-28,1986,2,293.0822
1986-03-31,1986,3,260.67258
1986-04-30,1986,4,265.98987
1986-05-31,1986,5,135.89465
1986-06-30,1986,6,61.661438
1986-07-31,1986,7,30.912058
1986-08-31,1986,8,37.173717
1986-09-30,1986,9,85.75077
1986-10-31,1986,10,287.48236
1986-11-30,1986,11,144.11195
1986-12-31,1986,12,94.20885
1987-01-31,1987,1,145.19882
1987-02-28,1987,2,78.699394
1987-03-31,1987,3,218.44043
1987-04-30,1987,4,130.4505
1987-05-31,1987,5,141.73479
1987-06-30,1987,6,38.16828
1987-07-31,1987,7,40.440067
1987-08-31,1987,8,51.405815
1987-09-30,1987,9,152.07542
1987-10-31,1987,10,310.43344
1987-11-30,1987,11,235.22673
1987-12-31,1987,12,100.56352
1988-01-31,1988,1,195.47292
1988-02-29,1988,2,174.39217
1988-03-31,1988,3,174.13734
1988-04-30,1988,4,353.20438
1988-05-31,1988,5,106.3673
1988-06-30,1988,6,98.64366
1988-07-31,1988,7,76.966644
1988-08-31,1988,8,101.07921
1988-09-30,1988,9,107.78357
1988-10-31,1988,10,236.69759
1988-11-30,1988,11,246.33853
1988-12-31,1988,12,237.1162
1989-01-31,1989,1,190.17953
1989-02-28,1989,2,197.33926
1989-03-31,1989,3,377.82672
1989-04-30,1989,4,161.00128
1989-05-31,1989,5,148.66287
1989-06-30,1989,6,55.74198
1989-07-31,1989,7,52.449657
1989-08-31,1989,8,51.231995
1989-09-30,1989,9,143.94322
1989-10-31,1989,10,185.04459
1989-11-30,1989,11,192.92484
1989-12-31,1989,12,164.38753
1990-01-31,1990,1,183.43428
1990-02-28,1990,2,183.74103
1990-03-31,1990,3,195.69476
1990-04-30,1990,4,261.80444
1990-05-31,1990,5,107.39428
1990-06-30,1990,6,28.236523
1990-07-31,1990,7,32.98919
1990-08-31,1990,8,32.541798
1990-09-30,1990,9,79.10855
1990-10-31,1990,10,302.87482
1990-11-30,1990,11,156.61902
1990-12-31,1990,12,167.29454
1991-01-31,1991,1,167.45781
1991-02-28,1991,2,175.7874
1991-03-31,1991,3,286.51596
1991-04-30,1991,4,251.30783
1991-05-31,1991,5,180.58728
1991-06-30,1991,6,112.453835
1991-07-31,1991,7,59.50998
1991-08-31,1991,8,22.61168
1991-09-30,1991,9,126.008705
1991-10-31,1991,10,116.05057
1991-11-30,1991,11,248.3155
1991-12-31,1991,12,214.84367
1992-01-31,1992,1,130.86269
1992-02-29,1992,2,217.78029
1992-03-31,1992,3,161.93501
1992-04-30,1992,4,198.7124
1992-05-31,1992,5,131.88036
1992-06-30,1992,6,45.725063
1992-07-31,1992,7,43.67371
1992-08-31,1992,8,57.614178
1992-09-30,1992,9,104.265015
1992-10-31,1992,10,117.64914
1992-11-30,1992,11,233.4624
1992-12-31,1992,12,179.38889
1993-01-31,1993,1,152.63861
1993-02-28,1993,2,195.98622
1993-03-31,1993,3,270.08597
1993-04-30,1993,4,218.84367
1993-05-31,1993,5,202.99112
1993-06-30,1993,6,28.028175
1993-07-31,1993,7,37.973583
1993-08-31,1993,8,25.990517
1993-09-30,1993,9,102.14442
1993-10-31,1993,10,166.69597
1993-11-30,1993,11,271.11957
1993-12-31,1993,12,144.01833
1994-01-31,1994,1,195.8958
1994-02-28,1994,2,252.11577
1994-03-31,1994,3,282.9869
1994-04-30,1994,4,206.95505
1994-05-31,1994,5,110.89377
1994-06-30,1994,6,60.94995
1994-07-31,1994,7,41.25969
1994-08-31,1994,8,19.966528
1994-09-30,1994,9,99.0452
1994-10-31,1994,10,202.33481
1994-11-30,1994,11,181.30797
1994-12-31,1994,12,149.41623
1995-01-31,1995,1,101.41048
1995-02-28,1995,2,130.32391
1995-03-31,1995,3,223.57726
1995-04-30,1995,4,206.42108
1995-05-31,1995,5,145.72267
1995-06-30,1995,6,102.86766
1995-07-31,1995,7,66.26681
1995-08-31,1995,8,84.13171
1995-09-30,1995,9,111.86847
1995-10-31,1995,10,205.81042
1995-11-30,1995,11,201.05591
1995-12-31,1995,12,202.60349
1996-01-31,1996,1,204.46135
1996-02-29,1996,2,149.1679
1996-03-31,1996,3,266.11575
1996-04-30,1996,4,167.12064
1996-05-31,1996,5,165.29092
1996-06-30,1996,6,105.37146
1996-07-31,1996,7,79.9589
1996-08-31,1996,8,44.458717
1996-09-30,1996,9,72.62756
1996-10-31,1996,10,248.6805
1996-11-30,1996,11,140.69362
1996-12-31,1996,12,178.59502
1997-01-31,1997,1,275.6975
1997-02-28,1997,2,113.6852
1997-03-31,1997,3,199.17041
1997-04-30,1997,4,177.65585
1997-05-31,1997,5,90.25372
1997-06-30,1997,6,97.41414
1997-07-31,1997,7,19.887209
1997-08-31,1997,8,10.436252
1997-09-30,1997,9,105.27004
1997-10-31,1997,10,142.02182
1997-11-30,1997,11,160.73654
1997-12-31,1997,12,84.68822
1998-01-31,1998,1,75.06852
1998-02-28,1998,2,132.88347
1998-03-31,1998,3,172.54346
1998-04-30,1998,4,181.50978
1998-05-31,1998,5,175.17314
1998-06-30,1998,6,33.988266
1998-07-31,1998,7,27.561785
1998-08-31,1998,8,40.894585
1998-09-30,1998,9,114.09228
1998-10-31,1998,10,188.01576
1998-11-30,1998,11,203.24783
1998-12-31,1998,12,199.04001
1999-01-31,1999,1,196.14839
1999-02-28,1999,2,273.0458
1999-03-31,1999,3,162.53662
1999-04-30,1999,4,210.18855
1999-05-31,1999,5,81.370476
1999-06-30,1999,6,88.68411
1999-07-31,1999,7,33.238647
1999-08-31,1999,8,72.471245
1999-09-30,1999,9,160.94368
1999-10-31,1999,10,178.46555
1999-11-30,1999,11,222.92711
1999-12-31,1999,12,245.1911
2000-01-31,2000,1,222.10208
2000-02-29,2000,2,218.07509
2000-03-31,2000,3,221.23514
2000-04-30,2000,4,159.89848
2000-05-31,2000,5,98.6295
2000-06-30,2000,6,67.58322
2000-07-31,2000,7,74.35082
2000-08-31,2000,8,28.077782
2000-09-30,2000,9,150.59462
2000-10-31,2000,10,123.87802
2000-11-30,2000,11,155.68867
2000-12-31,2000,12,144.37828
2001-01-31,2001,1,98.227104
2001-02-28,2001,2,128.27425
2001-03-31,2001,3,209.77486
2001-04-30,2001,4,69.869774
2001-05-31,2001,5,110.32519
2001-06-30,2001,6,44.186966
2001-07-31,2001,7,30.295387
2001-08-31,2001,8,17.546743
