time,Year,Month,Day,tas
1985-01-01,1985,1,1,13.531616
1985-01-02,1985,1,2,12.916077
1985-01-03,1985,1,3,13.389862
1985-01-04,1985,1,4,12.874603
1985-01-05,1985,1,5,12.947937
1985-01-06,1985,1,6,12.938019
1985-01-07,1985,1,7,13.042938
1985-01-08,1985,1,8,13.140381
1985-01-09,1985,1,9,13.5408325
1985-01-10,1985,1,10,13.8984375
1985-01-11,1985,1,11,13.983887
1985-01-12,1985,1,12,14.173492
1985-01-13,1985,1,13,13.588379
1985-01-14,1985,1,14,13.342102
1985-01-15,1985,1,15,13.644867
1985-01-16,1985,1,16,13.478394
1985-01-17,1985,1,17,13.395691
1985-01-18,1985,1,18,12.650116
1985-01-19,1985,1,19,13.753021
1985-01-20,1985,1,20,13.673492
1985-01-21,1985,1,21,13.384766
1985-01-22,1985,1,22,13.495361
1985-01-23,1985,1,23,13.185608
1985-01-24,1985,1,24,12.991119
1985-01-25,1985,1,25,13.434021
1985-01-26,1985,1,26,13.619385
1985-01-27,1985,1,27,13.202209
1985-01-28,1985,1,28,13.084473
1985-01-29,1985,1,29,13.095123
1985-01-30,1985,1,30,13.309692
1985-01-31,1985,1,31,13.238251
1985-02-01,1985,2,1,13.153503
1985-02-02,1985,2,2,12.949127
1985-02-03,1985,2,3,12.666534
1985-02-04,1985,2,4,12.169312
1985-02-05,1985,2,5,11.584595
1985-02-06,1985,2,6,11.854553
1985-02-07,1985,2,7,12.672607
1985-02-08,1985,2,8,12.888336
1985-02-09,1985,2,9,12.831848
1985-02-10,1985,2,10,13.019836
1985-02-11,1985,2,11,13.39856
1985-02-12,1985,2,12,13.64209
1985-02-13,1985,2,13,13.598145
1985-02-14,1985,2,14,13.531372
1985-02-15,1985,2,15,13.663666
1985-02-16,1985,2,16,14.036133
1985-02-17,1985,2,17,13.880157
1985-02-18,1985,2,18,13.992126
1985-02-19,1985,2,19,14.131317
1985-02-20,1985,2,20,13.53595
1985-02-21,1985,2,21,13.844421
1985-02-22,1985,2,22,13.824097
1985-02-23,1985,2,23,13.8909
1985-02-24,1985,2,24,13.262146
1985-02-25,1985,2,25,12.942169
1985-02-26,1985,2,26,12.104553
1985-02-27,1985,2,27,12.493286
1985-02-28,1985,2,28,12.793884
1985-03-01,1985,3,1,13.621277
1985-03-02,1985,3,2,13.738129
1985-03-03,1985,3,3,14.295502
1985-03-04,1985,3,4,14.61792
1985-03-05,1985,3,5,14.390808
1985-03-06,1985,3,6,13.838318
1985-03-07,1985,3,7,13.245239
1985-03-08,1985,3,8,13.408905
1985-03-09,1985,3,9,13.664429
1985-03-10,1985,3,10,13.358826
1985-03-11,1985,3,11,13.064941
1985-03-12,1985,3,12,13.240173
1985-03-13,1985,3,13,13.562927
1985-03-14,1985,3,14,14.181671
1985-03-15,1985,3,15,14.506653
1985-03-16,1985,3,16,14.359436
1985-03-17,1985,3,17,14.122681
1985-03-18,1985,3,18,13.379242
1985-03-19,1985,3,19,13.156799
1985-03-20,1985,3,20,12.728851
1985-03-21,1985,3,21,12.454315
1985-03-22,1985,3,22,13.6203
1985-03-23,1985,3,23,13.455719
1985-03-24,1985,3,24,14.04187
1985-03-25,1985,3,25,13.582733
1985-03-26,1985,3,26,14.133545
1985-03-27,1985,3,27,14.334991
1985-03-28,1985,3,28,14.698059
1985-03-29,1985,3,29,14.409668
1985-03-30,1985,3,30,13.815918
1985-03-31,1985,3,31,13.318176
1985-04-01,1985,4,1,12.840912
1985-04-02,1985,4,2,12.519409
1985-04-03,1985,4,3,12.693146
1985-04-04,1985,4,4,12.766357
1985-04-05,1985,4,5,13.289246
1985-04-06,1985,4,6,13.621765
1985-04-07,1985,4,7,13.789185
1985-04-08,1985,4,8,13.572144
1985-04-09,1985,4,9,13.257019
1985-04-10,1985,4,10,13.130585
1985-04-11,1985,4,11,13.454163
1985-04-12,1985,4,12,13.627014
1985-04-13,1985,4,13,13.687256
1985-04-14,1985,4,14,13.8289795
1985-04-15,1985,4,15,14.565887
1985-04-16,1985,4,16,14.425873
1985-04-17,1985,4,17,14.784241
1985-04-18,1985,4,18,14.779999
1985-04-19,1985,4,19,14.327789
1985-04-20,1985,4,20,14.024048
1985-04-21,1985,4,21,13.97937
1985-04-22,1985,4,22,13.707153
1985-04-23,1985,4,23,13.414124
1985-04-24,1985,4,24,13.547821
1985-04-25,1985,4,25,12.859619
1985-04-26,1985,4,26,12.300232
1985-04-27,1985,4,27,12.590942
1985-04-28,1985,4,28,12.29834
1985-04-29,1985,4,29,12.70578
1985-04-30,1985,4,30,13.095276
1985-05-01,1985,5,1,12.847595
1985-05-02,1985,5,2,12.566895
1985-05-03,1985,5,3,12.775696
1985-05-04,1985,5,4,13.029358
1985-05-05,1985,5,5,13.740448
1985-05-06,1985,5,6,13.223053
1985-05-07,1985,5,7,13.577209
1985-05-08,1985,5,8,13.177185
1985-05-09,1985,5,9,13.109528
1985-05-10,1985,5,10,13.277039
1985-05-11,1985,5,11,12.58606
1985-05-12,1985,5,12,12.445374
1985-05-13,1985,5,13,13.023346
1985-05-14,1985,5,14,13.014221
1985-05-15,1985,5,15,13.317261
1985-05-16,1985,5,16,12.802185
1985-05-17,1985,5,17,12.644806
1985-05-18,1985,5,18,12.329895
1985-05-19,1985,5,19,13.811066
1985-05-20,1985,5,20,13.572662
1985-05-21,1985,5,21,13.811676
1985-05-22,1985,5,22,13.789978
1985-05-23,1985,5,23,13.294647
1985-05-24,1985,5,24,13.583374
1985-05-25,1985,5,25,13.518707
1985-05-26,1985,5,26,14.197296
1985-05-27,1985,5,27,13.76886
1985-05-28,1985,5,28,14.095703
1985-05-29,1985,5,29,13.950104
1985-05-30,1985,5,30,13.934937
1985-05-31,1985,5,31,13.942535
1985-06-01,1985,6,1,13.326416
1985-06-02,1985,6,2,12.509827
1985-06-03,1985,6,3,12.320618
1985-06-04,1985,6,4,13.128296
1985-06-05,1985,6,5,12.783203
1985-06-06,1985,6,6,12.669556
1985-06-07,1985,6,7,13.083618
1985-06-08,1985,6,8,13.663483
1985-06-09,1985,6,9,12.619446
1985-06-10,1985,6,10,11.539215
1985-06-11,1985,6,11,12.257568
1985-06-12,1985,6,12,12.790161
1985-06-13,1985,6,13,13.201691
1985-06-14,1985,6,14,13.351257
1985-06-15,1985,6,15,13.418579
1985-06-16,1985,6,16,13.303497
1985-06-17,1985,6,17,13.157318
1985-06-18,1985,6,18,13.463135
1985-06-19,1985,6,19,13.670166
1985-06-20,1985,6,20,13.954651
1985-06-21,1985,6,21,13.782166
1985-06-22,1985,6,22,13.8993225
1985-06-23,1985,6,23,13.358948
1985-06-24,1985,6,24,13.959076
1985-06-25,1985,6,25,13.684906
1985-06-26,1985,6,26,13.779175
1985-06-27,1985,6,27,13.711609
1985-06-28,1985,6,28,13.449829
1985-06-29,1985,6,29,13.230103
1985-06-30,1985,6,30,13.219727
1985-07-01,1985,7,1,12.983765
1985-07-02,1985,7,2,13.183807
1985-07-03,1985,7,3,13.50293
1985-07-04,1985,7,4,13.636627
1985-07-05,1985,7,5,13.639191
1985-07-06,1985,7,6,13.362244
1985-07-07,1985,7,7,12.854828
1985-07-08,1985,7,8,13.118225
1985-07-09,1985,7,9,13.344116
1985-07-10,1985,7,10,13.296265
1985-07-11,1985,7,11,12.802643
1985-07-12,1985,7,12,13.163544
1985-07-13,1985,7,13,13.342194
1985-07-14,1985,7,14,13.439362
1985-07-15,1985,7,15,13.629028
1985-07-16,1985,7,16,13.64856
1985-07-17,1985,7,17,13.136841
1985-07-18,1985,7,18,13.390625
1985-07-19,1985,7,19,13.641296
1985-07-20,1985,7,20,13.502716
1985-07-21,1985,7,21,13.672241
1985-07-22,1985,7,22,13.620026
1985-07-23,1985,7,23,13.269562
1985-07-24,1985,7,24,12.596313
1985-07-25,1985,7,25,12.578125
1985-07-26,1985,7,26,12.97699
1985-07-27,1985,7,27,13.206879
1985-07-28,1985,7,28,13.404083
1985-07-29,1985,7,29,13.29776
1985-07-30,1985,7,30,13.3828125
1985-07-31,1985,7,31,13.600769
