time,Year,Month,tas
1985-01-31,1985,1,13.353037
1985-02-28,1985,2,13.155543
1985-03-31,1985,3,13.753162
1985-04-30,1985,4,13.449456
1985-05-31,1985,5,13.314796
1985-06-30,1985,6,13.209552
1985-07-31,1985,7,13.29756
1985-08-31,1985,8,13.553765
1985-09-30,1985,9,13.765385
1985-10-31,1985,10,13.329463
1985-11-30,1985,11,12.803486
1985-12-31,1985,12,13.162716
1986-01-31,1986,1,13.300941
1986-02-28,1986,2,12.7284975
1986-03-31,1986,3,13.16548
1986-04-30,1986,4,13.546138
1986-05-31,1986,5,13.8963
1986-06-30,1986,6,13.199712
1986-07-31,1986,7,13.243464
1986-08-31,1986,8,14.158322
1986-09-30,1986,9,14.262433
1986-10-31,1986,10,13.069448
1986-11-30,1986,11,13.410372
1986-12-31,1986,12,13.750239
1987-01-31,1987,1,13.855535
1987-02-28,1987,2,14.617681
1987-03-31,1987,3,14.610371
1987-04-30,1987,4,14.695934
1987-05-31,1987,5,14.287517
1987-06-30,1987,6,14.552112
1987-07-31,1987,7,15.025403
1987-08-31,1987,8,14.734667
1987-09-30,1987,9,14.6622925
1987-10-31,1987,10,13.731515
1987-11-30,1987,11,13.73463
1987-12-31,1987,12,13.856329
1988-01-31,1988,1,14.085581
1988-02-29,1988,2,14.225978
1988-03-31,1988,3,14.08317
1988-04-30,1988,4,14.058089
1988-05-31,1988,5,14.267757
1988-06-30,1988,6,13.474509
1988-07-31,1988,7,13.362976
1988-08-31,1988,8,13.790082
1988-09-30,1988,9,13.668615
1988-10-31,1988,10,13.674774
1988-11-30,1988,11,13.210467
1988-12-31,1988,12,12.79658
1989-01-31,1989,1,13.160338
1989-02-28,1989,2,13.206838
1989-03-31,1989,3,12.832681
1989-04-30,1989,4,13.781803
1989-05-31,1989,5,13.325623
1989-06-30,1989,6,13.148822
1989-07-31,1989,7,13.2862425
1989-08-31,1989,8,14.296998
1989-09-30,1989,9,14.078184
1989-10-31,1989,10,13.884856
1989-11-30,1989,11,13.861277
1989-12-31,1989,12,13.419771
1990-01-31,1990,1,13.95188
1990-02-28,1990,2,14.184488
1990-03-31,1990,3,14.569126
1990-04-30,1990,4,14.134104
1990-05-31,1990,5,13.923446
1990-06-30,1990,6,14.345736
1990-07-31,1990,7,14.166714
