Year,Month,Day,pr
1985,1,1,0.0
1985,1,2,0.0
1985,1,3,0.0
1985,1,4,0.0
1985,1,5,0.9545626347845764
1985,1,6,0.0
1985,1,7,0.3571553374270686
1985,1,8,0.0
1985,1,9,0.0
1985,1,10,0.0
1985,1,11,0.0
1985,1,12,0.0
1985,1,13,0.0
1985,1,14,0.0
1985,1,15,0.0
1985,1,16,0.0
1985,1,17,0.8602953864769058
1985,1,18,0.0
1985,1,19,0.0
1985,1,20,0.0
1985,1,21,0.3297031121633581
1985,1,22,0.341992449891605
1985,1,23,0.0
1985,1,24,0.0
1985,1,25,0.8602953864769058
1985,1,26,0.0
1985,1,27,0.0003652242451689
1985,1,28,0.0
1985,1,29,0.3855009989405904
1985,1,30,0.0
1985,1,31,0.0
1985,2,1,0.0
1985,2,2,0.0
1985,2,3,0.0
1985,2,4,0.0
1985,2,5,0.0
1985,2,6,0.0
1985,2,7,0.0
1985,2,8,0.0
1985,2,9,0.0
1985,2,10,0.0
1985,2,11,0.0
1985,2,12,0.0
1985,2,13,0.0434439031430938
1985,2,14,0.0
1985,2,15,0.0
1985,2,16,0.0
1985,2,17,0.0
1985,2,18,0.0
1985,2,19,0.0
1985,2,20,0.0
1985,2,21,0.0
1985,2,22,0.0
1985,2,23,0.0
1985,2,24,0.0
1985,2,25,0.0
1985,2,26,0.0
1985,2,27,0.0
1985,2,28,0.0
1985,3,1,0.0
1985,3,2,0.0
1985,3,3,0.0
1985,3,4,0.0
1985,3,5,0.0
1985,3,6,0.0
1985,3,7,0.0
1985,3,8,0.0
1985,3,9,0.0026886265231273
1985,3,10,0.0668254961097427
1985,3,11,0.0235502223227958
1985,3,12,0.0224033419837428
1985,3,13,0.7813437408158266
1985,3,14,0.1448130099342565
1985,3,15,0.0
1985,3,16,0.0
1985,3,17,0.0578067172358397
1985,3,18,0.094734738673811
1985,3,19,0.0
1985,3,20,0.0
1985,3,21,0.0
1985,3,22,0.0
1985,3,23,0.0023122686956595
1985,3,24,0.0
1985,3,25,0.0
1985,3,26,0.0
1985,3,27,0.0
1985,3,28,0.0
1985,3,29,0.0
1985,3,30,0.0036522424255729
1985,3,31,0.0
1985,4,1,1.8137984368656968
1985,4,2,0.9364609820033756
1985,4,3,0.2488828060592819
1985,4,4,2.4746758299422145
1985,4,5,0.2187610280353825
1985,4,6,0.0
1985,4,7,0.0234510604344977
1985,4,8,0.3173332658592699
1985,4,9,2.622128868183334
1985,4,10,0.8275087698410919
1985,4,11,0.0
1985,4,12,0.0
1985,4,13,0.0
1985,4,14,0.0
1985,4,15,0.0
1985,4,16,0.1006429316967702
1985,4,17,0.0
1985,4,18,0.0
1985,4,19,0.0177273933304801
1985,4,20,1.7413954884449
1985,4,21,1.906236198230164
1985,4,22,3.551984307757345
1985,4,23,0.0
1985,4,24,0.7124845447137291
1985,4,25,2.811444280392397
1985,4,26,1.5860638922735515
1985,4,27,1.8792765739626616
1985,4,28,1.9707703791089548
1985,4,29,0.0041392080891605
1985,4,30,1.1634702634957277
1985,5,1,0.0
1985,5,2,1.4477894197030683
1985,5,3,1.5475077541985538
1985,5,4,4.762332609347082
1985,5,5,0.0963752497351476
1985,5,6,0.5160894605225155
1985,5,7,0.459149288679591
1985,5,8,0.2343155358323648
1985,5,9,0.6000860437238448
1985,5,10,5.016417658305814
1985,5,11,3.493613184681616
1985,5,12,10.77535352358588
1985,5,13,0.6057969725090201
1985,5,14,1.096111613447794
1985,5,15,0.6144165897979086
1985,5,16,5.631270540836258
1985,5,17,7.647817509321586
1985,5,18,8.395995398149347
1985,5,19,2.3595071769604448
1985,5,20,0.0
1985,5,21,2.075204069527297
1985,5,22,3.8962151805219194
1985,5,23,0.5948292174750226
1985,5,24,0.0022942281243232
1985,5,25,4.931376493140072
1985,5,26,0.0
1985,5,27,4.548605483342362
1985,5,28,0.9768837083195292
1985,5,29,0.1270243023827082
1985,5,30,1.1996371881268113
1985,5,31,9.008956752328585
1985,6,1,16.30677011057104
1985,6,2,1.964887233836276
1985,6,3,0.4113947447566228
1985,6,4,0.4820690530190914
1985,6,5,2.0823766634755545
1985,6,6,1.7478505641060529
1985,6,7,1.532118575675292
1985,6,8,0.6237499024606484
1985,6,9,0.6302033666446129
1985,6,10,0.1220463492074857
1985,6,11,1.5724860767470452
1985,6,12,3.3665253227861105
1985,6,13,0.3686146405705666
1985,6,14,0.0
1985,6,15,0.0067003029859848
1985,6,16,0.0
1985,6,17,2.442049531373647
1985,6,18,3.729417755335364
1985,6,19,0.063717724476375
1985,6,20,0.4483553782340916
1985,6,21,0.0
1985,6,22,4.715830227388576
1985,6,23,13.93258617677061
1985,6,24,1.2873589183174436
1985,6,25,1.9930888909540283
1985,6,26,0.3500152938125306
1985,6,27,2.773838396343299
1985,6,28,3.566265449959176
1985,6,29,0.3490995176659567
1985,6,30,0.0
1985,7,1,0.0
1985,7,2,0.0
1985,7,3,0.530083967142241
1985,7,4,3.66552390761025
1985,7,5,2.1312648728763306
1985,7,6,0.0631156924091972
1985,7,7,1.2359640097089897
1985,7,8,2.3200407638361584
1985,7,9,0.8994042677289011
1985,7,10,1.1826194902360418
1985,7,11,0.6358825541733318
1985,7,12,10.527034145088026
1985,7,13,0.3316649975488495
1985,7,14,2.264967857263671
1985,7,15,0.0760712808031317
1985,7,16,0.2099357362730541
1985,7,17,2.047580809555298
1985,7,18,0.005737272853577
1985,7,19,4.065740398601054
1985,7,20,4.324314606808551
1985,7,21,11.066533134780704
1985,7,22,3.6813964576917098
1985,7,23,8.921335219045243
1985,7,24,6.109671349550441
1985,7,25,2.5948771138546665
1985,7,26,4.4471657832497975
1985,7,27,0.0219106800385593
1985,7,28,0.6063917263427858
1985,7,29,6.359423123106394
1985,7,30,8.07139510684577
1985,7,31,3.226741412045434
1985,8,1,2.008286701428573
1985,8,2,7.941128223781026
1985,8,3,1.87043875562611
1985,8,4,3.119937689057358
1985,8,5,4.006036950185377
1985,8,6,11.38694277834874
1985,8,7,1.8567410861615887
1985,8,8,5.966621679933352
1985,8,9,4.828731974336376
1985,8,10,6.534400160975913
1985,8,11,0.1079058726203154
1985,8,12,0.1150505890347183
1985,8,13,1.252518833989836
1985,8,14,3.412622497163991
1985,8,15,0.8767632178512424
1985,8,16,1.3858240257650896
1985,8,17,5.752609403323856
1985,8,18,13.683227376982632
1985,8,19,1.82879785603681
1985,8,20,3.2234132394213946
1985,8,21,0.8504902835104515
1985,8,22,1.4371024144806914
1985,8,23,5.318593352028255
1985,8,24,4.819189268932838
1985,8,25,0.3381729528119396
1985,8,26,8.162933321145022
1985,8,27,4.172174691869156
1985,8,28,1.2979998821694307
1985,8,29,1.5563027070436175
1985,8,30,1.811670375742248
1985,8,31,1.8233358724209288
1985,9,1,3.4377468445105595
1985,9,2,4.80179355983161
1985,9,3,0.2879502845200927
1985,9,4,2.3985552647014945
1985,9,5,1.8434435993559133
1985,9,6,2.815825457333644
1985,9,7,2.2131108212544888
1985,9,8,9.563503311681789
1985,9,9,11.4228952801346
1985,9,10,2.6963916188088204
1985,9,11,2.597257792152033
1985,9,12,0.8890743684299725
1985,9,13,1.32017555123494
1985,9,14,5.864983173020816
1985,9,15,5.449137249573491
1985,9,16,1.244553211921798
1985,9,17,1.880944199236298
1985,9,18,1.4872561742679211
1985,9,19,3.599521345951413
1985,9,20,4.256867394175872
1985,9,21,4.533176955914519
1985,9,22,5.475120084943241
1985,9,23,1.3886996302848738
1985,9,24,1.737981608096101
1985,9,25,4.209722347843278
1985,9,26,16.425829603562068
1985,9,27,0.7191756664653126
1985,9,28,9.852055892893995
1985,9,29,2.589708793556877
1985,9,30,4.136076053679261
1985,10,1,21.041992218325987
1985,10,2,2.0005160075639
1985,10,3,4.801406833496652
1985,10,4,1.7504927827916368
1985,10,5,5.247009777838256
1985,10,6,8.94309742205352
1985,10,7,4.12682716954305
1985,10,8,0.1573273942246204
1985,10,9,5.825495137073267
1985,10,10,2.7257767178698504
1985,10,11,0.0146089697022917
1985,10,12,0.0098573884813776
1985,10,13,0.3211161821187395
1985,10,14,1.6643461857494073
1985,10,15,0.7921354631776933
1985,10,16,1.0481121235635509
1985,10,17,1.3291088775902444
1985,10,18,0.1146729387204212
1985,10,19,4.382697422213145
1985,10,20,21.635237251656765
1985,10,21,1.9313575841975776
1985,10,22,0.8507703856748384
1985,10,23,6.9592032041853065
1985,10,24,11.114517346350851
1985,10,25,5.152965646945233
1985,10,26,10.188934860795976
1985,10,27,11.05743153454672
1985,10,28,13.68210513116686
1985,10,29,11.154778550504023
1985,10,30,1.493663105008561
1985,10,31,0.8308154332602175
1985,11,1,3.702920987957901
1985,11,2,1.4591153053522483
1985,11,3,0.4772841158804056
1985,11,4,0.6075999437918329
1985,11,5,1.534987508656218
1985,11,6,0.1562305669450344
1985,11,7,0.3387783308725477
1985,11,8,5.56435435490709
1985,11,9,0.3301138887168182
1985,11,10,0.0
1985,11,11,0.0335015149581097
1985,11,12,2.931525745544325
1985,11,13,0.076214581092438
1985,11,14,9.187165428727363
1985,11,15,0.463254383587168
1985,11,16,1.2444058455000973
1985,11,17,0.7680127369649923
1985,11,18,0.0873106682160237
1985,11,19,0.3491915897801988
1985,11,20,0.7838939492639798
1985,11,21,0.0
1985,11,22,4.531153067969467
1985,11,23,0.3118180417103194
1985,11,24,0.2012651391876909
1985,11,25,0.6639954202209983
1985,11,26,0.8172338965683323
1985,11,27,5.221799295209003
1985,11,28,0.2482613003201193
1985,11,29,0.141301333554864
1985,11,30,0.7906421392728438
1985,12,1,0.1837825939204174
1985,12,2,8.005992276219468
1985,12,3,1.9116412723695029
1985,12,4,4.174164006175087
1985,12,5,12.910699493180797
1985,12,6,11.726750388497528
1985,12,7,1.9700946041426344
1985,12,8,1.733596057424124
1985,12,9,2.833115054006159
1985,12,10,0.0
1985,12,11,0.0
1985,12,12,0.0
1985,12,13,0.0
1985,12,14,0.0
1985,12,15,0.0
1985,12,16,0.5061726756948114
1985,12,17,0.0
1985,12,18,0.0
1985,12,19,0.0
1985,12,20,0.0
1985,12,21,0.0
1985,12,22,0.0
1985,12,23,0.0
1985,12,24,0.0
1985,12,25,0.0
1985,12,26,0.0560041324850039
1985,12,27,0.0
1985,12,28,0.0
1985,12,29,0.3714879952186896
1985,12,30,0.0
1985,12,31,0.0
1986,1,1,0.0
1986,1,2,0.0770756231365777
1986,1,3,0.0
1986,1,4,0.0
1986,1,5,0.0
1986,1,6,0.0
1986,1,7,0.0301513634347458
1986,1,8,0.0619888720428103
1986,1,9,0.0
1986,1,10,0.0
1986,1,11,0.0
1986,1,12,0.6415121699224302
1986,1,13,0.7097836889038228
1986,1,14,0.0
1986,1,15,0.0
1986,1,16,0.0
1986,1,17,0.0
1986,1,18,0.0
1986,1,19,0.0
1986,1,20,0.0
1986,1,21,0.0
1986,1,22,0.0
1986,1,23,0.0
1986,1,24,0.0
1986,1,25,0.0
1986,1,26,0.0
1986,1,27,0.0942008892911835
1986,1,28,0.0
1986,1,29,0.7557066569663126
1986,1,30,0.1316802160025596
1986,1,31,0.0616604985722152
1986,2,1,0.0
1986,2,2,0.0147860827033722
1986,2,3,0.0
1986,2,4,0.0770756231365777
1986,2,5,0.0
1986,2,6,0.0955765869434008
1986,2,7,0.0
1986,2,8,0.0
1986,2,9,0.0
1986,2,10,0.0
1986,2,11,0.0
1986,2,12,0.0
1986,2,13,0.0
1986,2,14,0.3560158483024206
